case_id,final_step,atoms,mother_pebbles,x_span_mm,zlo_mm,zhi_mm,bed_height_mm,final_ke_multisphere_J,total_neighbors,max_height_gate_mm,min_neighbors_gate,rigid_pack_gate_status
PB-007-rigid-surface-100-pilot,300000,50000,100,6.0016932,-0.0012928000000000024,3.4673016,3.4685943999999997,3.9992017e-10,12448,6.0,5000,pass
PB-007-rigid-surface-100-seed02,300000,50000,100,6.0005532,-0.00023270000000000202,19.589271600000004,19.589504300000005,2.0688126e-06,1229,6.0,5000,fail_unsettled_tall_bed
PB-007-rigid-surface-100-seed02-600ksettle,600000,50000,100,6.0003231999999995,-0.00025319999999999954,3.7309615999999997,3.7312148,2.7242095e-09,11890,6.0,5000,pass
