case_label,case_id,final_displacement_um,final_top_force_N,peak_top_force_N,peak_force_displacement_um,mother_pebble_count,initial_internal_bonds,secant_stiffness_0_20um_N_per_m,secant_stiffness_20_40um_N_per_m,secant_stiffness_40_60um_N_per_m,minimum_intact_bonds,broken_bonds_at_endpoint,first_thermo_break_disp_um,event_rows,first_event_disp_um,last_event_disp_um,damaged_mother_pebbles,event_localized_broken_bonds,event_sequence,max_inter_mother_edges,final_inter_mother_edges,max_top_reachable_mothers,final_top_reachable_mothers,max_bottom_reachable_from_top,final_bottom_reachable_from_top,final_inter_pebble_force_sum_N,final_spanning_force_graph
pilot_localized_microcracking,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,60.0,0.1577665,0.29448702,38.0,100,493500,12079.58577142857,8811.912415584415,-2290.42463636363,493495,5,20.0,3,25.0,60.0,1,5,25.0um:+2;35.0um:+2;60.0um:+1,79,74,65,57,11,11,0.8636818383292806,1
seed02_intact_to_60um,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed02,60.0,0.12814566,0.12814566,60.0,100,493500,-482.07303012987,-115.11316311688304,2835.9420811688346,493500,0,,0,,,0,0,none,83,83,67,67,19,18,0.2527022955195097,1
seed03_delayed_microcracking_to_60um,PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03,60.0,0.64949435,0.64949435,60.0,100,493500,4778.798879220779,9078.42433766234,-7066.360363636375,493490,10,50.0,2,59.0,59.0,2,10,59.0um:+10,89,63,71,54,12,7,1.0320753598831005,1
seed04_early_microcracking_to_60um,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,60.0,0.25913655,0.33753033,48.0,100,493500,6374.656871428574,10232.720415584417,-11152.193727272746,493490,10,19.0,4,19.0,59.0,2,10,19.0um:+4;29.0um:+1;49.0um:+4;59.0um:+1,85,57,68,46,16,10,0.5754712409648477,1
seed06_synchronous_microcracking_to_60um,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,60.0,0.51979486,0.51979486,60.0,100,493500,7679.049182987012,-7323.413125974023,10558.446467532483,493490,10,30.0,2,39.0,39.0,2,10,39.0um:+10,88,88,72,72,12,12,0.9447621714911172,1
seed02_strength0p5_intact_to_60um,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p5-trigger-seed02,60.0,0.12814356,0.12814356,60.0,100,493500,-482.05449324675317,-115.13498376623372,2835.876020779224,493500,0,,0,,,0,0,none,83,83,67,67,19,18,0.2526280110783732,1
seed02_strength0p25_intact_to_60um,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p25-trigger-seed02,60.0,0.12814356,0.12814356,60.0,100,493500,-482.05449324675317,-115.13498376623372,2835.876020779224,493500,0,,0,,,0,0,none,83,83,67,67,19,18,0.2526280110783732,1
seed09_200bed_intact_to_60um,PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-y1p5e10-10kstage-hold100-60um-fracture-200bed,60.0,0.019484877,0.04208835300000001,6.0,200,987000,-232.51408311688277,-228.04646233766226,-7.328110389609994,987000,0,,0,,,0,0,none,53,53,43,43,8,8,0.1131278346633127,1
seed09_200bed_strength0p25_to_60um,PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-60um-strength0p25-200bed,60.0,0.019485091,0.042088116999999994,6.0,200,987000,-232.51373896103826,-228.0575792207794,-7.353966233766231,987000,0,,0,,,0,0,none,53,53,43,43,8,8,0.1131302109936699,1
