display_case,endpoint_damage_state,final_inter_pebble_force_sum_N,force_path_intensity_norm,network_reorganization_fraction,force_relaxation_fraction,broken_bonds_at_endpoint,broken_bond_fraction_x1e5,tail_F95_edge_force_N,tail_F99_edge_force_N,tail_top5_force_share,damaged_mother_pebbles,damage_localization_index_bonds_per_damaged_mother,final_top_reachable_mothers,final_bottom_reachable_from_top,posthoc_mechanism_index
Delayed,localized microcracking,1.0320753598831005,1.0,0.29213483146067415,0.0,10,2.026342451874367,0.068555166973802,0.1175159798211813,0.386945506441723,2,5.0,54,7,1.2921348314606742
Synchronous,localized microcracking,0.9447621714911172,0.9154003750250631,0.0,0.0,10,2.026342451874367,0.0381724143182302,0.0538865618451481,0.2484243935074066,2,5.0,72,12,0.9154003750250631
Early,localized microcracking,0.5754712409648477,0.5575864547624015,0.32941176470588235,0.23225699450476042,10,2.026342451874367,0.0389827787878991,0.0431223020884739,0.2196638961653206,2,5.0,46,10,0.9134252753905318
Pilot,localized microcracking,0.8636818383292806,0.8368398974539095,0.06329113924050633,0.4642667102950751,5,1.0131712259371835,0.0664506257914974,0.0964939695344154,0.4066476719655447,1,5.0,57,11,1.3029110317700547
Independent,intact to endpoint,0.2527022955195097,0.24484868580539734,0.0,0.0,0,0.0,0.0118748547550408,0.0231976542288353,0.3890995838601364,0,0.0,67,18,0.24484868580539734
0.5x intact,intact to endpoint,0.2526280110783732,0.24477671001368298,0.0,0.0,0,0.0,0.011878492714484,0.0231964183082186,0.3892185139602647,0,0.0,67,18,0.24477671001368298
0.25x intact,intact to endpoint,0.2526280110783732,0.24477671001368298,0.0,0.0,0,0.0,0.011878492714484,0.0231964183082186,0.3892185139602647,0,0.0,67,18,0.24477671001368298
200-bed 0.25x,intact to endpoint,0.1131302109936699,0.10961429309433737,0.0,0.5370405618288876,0,0.0,0.0120722562215089,0.0203729094052022,0.4733084138877842,0,0.0,43,8,0.16848161464219666
200-bed,intact to endpoint,0.1131278346633127,0.10961199061677657,0.0,0.5370482423011421,0,0.0,0.0120718043853034,0.020372631013095,0.4733166518875937,0,0.0,43,8,0.1684789175126457
