seed,pebble_id,broken_bonds,event_count,height_bin,zrank,z_mm,degree,first_event_top_displacement_mm
seed1000-02,1000,121,13,8,1,8.21684,3,0.0599975
seed1000-02,998,80,7,8,3,8.18072,3,0.10499750000000001
seed1000-02,997,61,5,8,4,8.160449999999999,3,0.1199975
seed1000-02,999,51,5,8,2,8.20177,4,0.08499749999999999
seed1000-02,949,3,1,8,52,7.50757,5,0.1499975
