sample_id,orientation_label,full_weibull_probability_midpoint,truncated_weibull_probability_midpoint,full_distribution_strength_multiplier,recommended_strength_multiplier,bulk_strength_MPa_if_CAL1_bulk90,weakplane_strength_MPa_if_CAL1_weak22p5,strategy_note
1,x,0.02,0.362406,0.25557,0.667049,60.034421,15.008605,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
2,xy30,0.06,0.379395,0.361223,0.679174,61.125701,15.281425,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
3,y,0.1,0.396383,0.425826,0.691152,62.203662,15.550915,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
4,xy45,0.14,0.413372,0.475761,0.703005,63.27049,15.817623,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
5,tilt_xz,0.18,0.430361,0.517883,0.714758,64.328227,16.082057,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
6,x,0.22,0.44735,0.555141,0.726431,65.3788,16.3447,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
7,xy30,0.26,0.464339,0.589118,0.738045,66.424055,16.606014,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
8,y,0.3,0.481328,0.620783,0.74962,67.465776,16.866444,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
9,xy45,0.34,0.498317,0.650787,0.761175,68.505709,17.126427,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
10,tilt_xz,0.38,0.515306,0.679604,0.772729,69.545587,17.386397,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
11,x,0.42,0.532295,0.707601,0.784302,70.587147,17.646787,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
12,xy30,0.46,0.549284,0.735083,0.795913,71.632152,17.908038,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
13,y,0.5,0.566272,0.762319,0.807582,72.682416,18.170604,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
14,xy45,0.54,0.583261,0.789562,0.819331,73.739825,18.434956,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
15,tilt_xz,0.58,0.60025,0.817069,0.831182,74.806363,18.701591,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
16,x,0.62,0.617239,0.845117,0.843157,75.884143,18.971036,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
17,xy30,0.66,0.634228,0.874026,0.855283,76.975442,19.24386,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
18,y,0.7,0.651217,0.904192,0.867586,78.08274,19.520685,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
19,xy45,0.74,0.668206,0.936134,0.880097,79.208772,19.802193,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
20,tilt_xz,0.78,0.685195,0.970582,0.892851,80.356584,20.089146,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
21,x,0.82,0.702184,1.00865,0.905885,81.529614,20.382403,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
22,xy30,0.86,0.719172,1.052206,0.919242,82.731782,20.682946,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
23,y,0.9,0.736161,1.104863,0.932974,83.967619,20.991905,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
24,xy45,0.94,0.75315,1.175458,0.947138,85.242428,21.310607,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
25,tilt_xz,0.98,0.770139,1.301557,0.961806,86.562499,21.640625,Truncated Latin-quantile Weibull strength multiplier crossed with rotating weak-plane orientations.
