seed,npebbles,cutoff_mm,bed_height_mm,zmax_mm,top_bin_count,geometric_contact_count,global_mean_degree,global_median_degree,top_bin_mean_degree,top_bin_median_degree,top10pct_mean_degree,top5_ids,top5_mean_degree,active_pebbles,active_mean_degree,active_median_zrank,localized_broken_bonds,first_break_pebble,first_break_zrank,first_break_degree,first_break_height_bin,first_break_displacement_mm,first_event_new_broken_bonds
seed01,500,1.1,3.9943700000000004,4.4939100000000005,15,1535,6.14,6.0,3.6666666666666665,4,4.18,500;499;498;497;496,3.8,5,5.4,30,271,500,1,4,8,0.0724975,23
seed02,500,1.1,4.08026,4.579879999999999,9,1497,5.988,6.0,3.6666666666666665,4,4.5,500;499;498;497;496,3.4,4,4.75,9.0,246,500,1,4,8,0.0724975,42
seed03,500,1.1,3.8153040000000003,4.31489,28,1511,6.044,6.0,4.0,4.0,4.36,500;499;498;497;496,3.6,7,4.857142857142857,4,559,500,1,4,8,0.0724975,23
