seed,npebbles,cutoff_mm,bed_height_mm,zmax_mm,top_bin_count,geometric_contact_count,global_mean_degree,global_median_degree,top_bin_mean_degree,top_bin_median_degree,top10pct_mean_degree,top5_ids,top5_mean_degree,active_pebbles,active_mean_degree,active_median_zrank,localized_broken_bonds,first_break_pebble,first_break_zrank,first_break_degree,first_break_height_bin,first_break_displacement_mm,first_event_new_broken_bonds
seed01,500,1.0,3.9943700000000004,4.4939100000000005,15,933,3.732,4.0,2.466666666666667,2,2.78,500;499;498;497;496,2.8,5,3.8,30,271,500,1,3,8,0.0724975,23
seed02,500,1.0,4.08026,4.579879999999999,9,950,3.8,4.0,2.4444444444444446,2,2.94,500;499;498;497;496,2.2,4,3.0,9.0,246,500,1,2,8,0.0724975,42
seed03,500,1.0,3.8153040000000003,4.31489,28,917,3.668,4.0,2.9285714285714284,3.0,3.14,500;499;498;497;496,3.0,7,3.4285714285714284,4,559,500,1,3,8,0.0724975,23
