seed,timestep,top_displacement_mm,pebble_id,centroid_z_mm,height_bin,total_broken_bonds,event_count,step_new_broken_bonds,net_fx_N,net_fy_N,net_fz_N,net_force_N,sum_abs_subparticle_fz_N,max_subparticle_abs_fz_N,selection,selection_rank
seed02,5000,0.009997500000000001,1,0.5051561125999996,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,1
seed02,5000,0.009997500000000001,2,0.5046421151999997,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,2
seed02,5000,0.009997500000000001,3,0.5036658770000001,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,3
seed02,5000,0.009997500000000001,4,0.5021453274000004,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,4
seed02,5000,0.009997500000000001,5,0.49423446600000015,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,5
seed02,5000,0.009997500000000001,6,0.4982515426000003,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,6
seed02,5000,0.009997500000000001,7,0.4950343081999996,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,7
seed02,5000,0.009997500000000001,8,0.4991176407999999,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,8
seed02,5000,0.009997500000000001,9,0.5058784512,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,9
seed02,5000,0.009997500000000001,10,0.49994414059999975,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,10
seed02,5000,0.009997500000000001,11,0.50055153,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,11
seed02,5000,0.009997500000000001,12,0.4939337323999998,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,12
seed02,5000,0.009997500000000001,13,0.4991996068000003,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,13
seed02,5000,0.009997500000000001,14,0.4943093755999997,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,14
seed02,5000,0.009997500000000001,15,0.5006195117999999,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,15
seed02,5000,0.009997500000000001,16,0.49473521080000044,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,16
seed02,5000,0.009997500000000001,17,0.4974619754,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,17
seed02,5000,0.009997500000000001,18,0.49509947040000013,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,18
seed02,5000,0.009997500000000001,19,0.5038427299999998,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,19
seed02,5000,0.009997500000000001,20,0.5028455119999997,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,20
seed02,5000,0.009997500000000001,500,4.5824508999999995,8,187,5,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,1
seed02,5000,0.009997500000000001,499,4.465238859999999,8,23,1,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,2
seed02,5000,0.009997500000000001,498,4.3870729799999975,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,3
seed02,5000,0.009997500000000001,497,4.341252299999997,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,4
seed02,5000,0.009997500000000001,496,4.255422240000001,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,5
seed02,5000,0.009997500000000001,495,4.233641840000001,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,6
seed02,5000,0.009997500000000001,494,4.225518460000005,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,7
seed02,5000,0.009997500000000001,493,4.1949881,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,8
seed02,5000,0.009997500000000001,492,4.154746339999997,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,9
seed02,5000,0.009997500000000001,491,4.054119860000002,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,10
