case,displacement_mm,engineering_strain_percent,top_pressure_MPa,kinetic_energy_J,localized_cumulative_broken_bonds
Bed A,-0.0,-0.0,0.0,0.0,0
Bed A,0.0,0.0,0.0,0.0,0
Bed A,0.009997500000000001,0.2502897828693887,0.0,0.0,0
Bed A,0.0224975,0.5632302465720501,0.0,0.0,0
Bed A,0.0349975,0.8761707102747117,0.0,0.0,0
Bed A,0.0474975,1.1891111739773732,0.0,0.0,0
Bed A,0.0599975,1.5020516376800348,0.00020661257024793392,9.634478e-11,0
Bed A,0.0724975,1.8149921013826964,0.01576332148760331,1.4646344e-09,23
Bed A,0.08499749999999999,2.1279325650853576,0.026926569421487606,8.4143327e-09,23
Bed A,0.0974975,2.4408730287880194,0.025635537190082647,4.7059686e-09,83
Bed A,0.10999750000000001,2.753813492490681,0.07004519338842977,2.5135146e-08,83
Bed A,0.12249750000000001,3.0667539561933426,0.08887445454545456,3.7716955e-08,94
Bed A,0.1349975,3.379694419896003,0.09061939669421488,4.0043998e-08,94
Bed A,0.1474975,3.6926348835986653,0.09235000000000002,4.105676e-08,97
Bed A,0.15999750000000001,4.005575347301327,0.09659259504132234,3.6915592e-08,97
Bed A,0.1724975,4.318515811003988,0.03628859008264463,6.6791305e-08,155
Bed A,0.1849975,4.6314562747066494,0.06455500413223142,1.3011947e-08,155
Bed A,0.1974975,4.944396738409311,0.19905647107438018,5.9011692e-08,271
Bed A,0.2,5.007047419242585,0.2232855619834711,7.2356034e-08,271
Bed B,-0.0,-0.0,0.0,0.0,0
Bed B,0.0,0.0,0.0,0.0,0
Bed B,0.009997500000000001,0.24502115061295116,0.0,0.0,0
Bed B,0.0224975,0.5513741771357707,0.0,0.0,0
Bed B,0.0349975,0.8577272036585905,0.0,0.0,0
Bed B,0.0474975,1.16408023018141,0.0,0.0,0
Bed B,0.0599975,1.4704332567042298,0.022940888429752067,2.5690682e-09,0
Bed B,0.0724975,1.7767862832270493,0.0006186679421487604,3.2848179e-10,42
Bed B,0.08499749999999999,2.0831393097498685,0.06648016446280994,2.008427e-08,42
Bed B,0.0974975,2.3894923362726885,0.07511228264462812,2.5496025e-08,60
Bed B,0.10999750000000001,2.6958453627955086,0.09608438016528928,4.124442e-08,60
Bed B,0.12249750000000001,3.0021983893183277,0.10132214049586777,4.5832563e-08,60
Bed B,0.1349975,3.3085514158411473,0.10223939669421489,4.6662388e-08,60
Bed B,0.1474975,3.614904442363967,0.1041571570247934,3.970074e-08,60
Bed B,0.15999750000000001,3.9212574688867874,0.09644853719008266,2.4722225e-08,60
Bed B,0.1724975,4.227610495409606,0.0745280611570248,1.7537793e-08,148
Bed B,0.1849975,4.533963521932426,0.1370840495867769,4.6067584e-08,148
Bed B,0.1974975,4.840316548455245,0.2015871570247934,5.7508825e-08,233
Bed B,0.2,4.901648424365114,0.22654546280991736,7.0190968e-08,246
Bed C,-0.0,-0.0,0.0,0.0,0
Bed C,0.0,0.0,0.0,0.0,0
Bed C,0.009997500000000001,0.2620370613057951,0.0,0.0,0
Bed C,0.0224975,0.5896652949964616,0.0,0.0,0
Bed C,0.0349975,0.9172935286871282,0.0,0.0,0
Bed C,0.0474975,1.2449217623777946,0.0,0.0,0
Bed C,0.0599975,1.5725499960684612,0.0,0.0,0
Bed C,0.0724975,1.900178229759128,0.04494259256198348,1.5882081e-08,23
Bed C,0.08499749999999999,2.2278064634497943,0.08979271074380166,2.4717581e-08,23
Bed C,0.0974975,2.555434697140461,0.1034284876033058,2.9430854e-08,144
Bed C,0.10999750000000001,2.8830629308311275,0.21558801652892565,7.5212036e-08,144
Bed C,0.12249750000000001,3.2106911645217937,0.23483284297520665,9.0407384e-08,213
Bed C,0.1349975,3.53831939821246,0.28694126446280993,1.2415784e-07,213
Bed C,0.1474975,3.8659476319031274,0.3022498842975207,1.2854233e-07,219
Bed C,0.15999750000000001,4.193575865593794,0.23355100000000004,8.5030858e-08,219
Bed C,0.1724975,4.52120409928446,0.27189152892561985,9.0857003e-08,411
Bed C,0.1849975,4.848832332975126,0.3146189008264463,1.1067148e-07,411
Bed C,0.1974975,5.176460566665793,0.38247214876033064,1.3685223e-07,528
Bed C,0.2,5.242051739050665,0.3955009090909091,1.4734929e-07,559
