mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
40,83,2,1.257180996326602e-05,1.1314598356989257e-05,7.52445e-07
40,92,2,9.054730481255917e-05,8.298740101497094e-05,2.66852e-06
41,74,2,8.896536582169479e-06,6.134801422132586e-06,5.14515e-07
42,69,2,2.5519654894629674e-06,1.6205323627823665e-06,2.11141e-07
42,74,2,1.827493230214869e-05,1.1277370696889328e-05,7.79655e-07
42,84,1,3.6494851382895096e-06,3.6494851382895096e-06,3.6541e-07
42,91,1,1.6486093906759723e-06,1.6486093906759723e-06,2.01242e-07
43,61,4,0.0010947362494382435,0.0005609756794817401,9.47214e-06
44,49,2,1.0077231927973502e-05,5.274601666609527e-06,4.67203e-07
44,73,2,5.992194629457104e-06,3.527619097989464e-06,3.55816e-07
45,47,3,8.851803836815486e-06,4.313943319922041e-06,4.08276e-07
46,53,1,4.085087598387579e-06,4.085087598387579e-06,3.88626e-07
46,77,1,5.537021402523201e-06,5.537021402523201e-06,4.84261e-07
46,99,1,3.856155035589207e-06,3.856155035589207e-06,3.76504e-07
47,64,1,5.197406120037186e-06,5.197406120037186e-06,4.6663e-07
47,88,1,5.747710416967439e-06,5.747710416967439e-06,4.92422e-07
47,94,2,3.6959485875970615e-06,3.450761921807994e-06,3.50162e-07
48,49,3,3.1614015693811936e-06,1.6882468704534891e-06,2.09139e-07
48,50,1,2.9165055430014186e-06,2.9165055430014186e-06,3.1209e-07
48,53,2,1.2121517272018623e-05,1.085726330005057e-05,7.6209e-07
48,60,1,9.686620186881661e-06,9.686620186881661e-06,7.03808e-07
48,62,1,2.1146047652968155e-06,2.1146047652968155e-06,2.27993e-07
48,98,1,1.7430604617020604e-06,1.7430604617020604e-06,2.23095e-07
49,62,2,7.751829637756475e-06,4.7493070159129534e-06,4.31922e-07
50,92,1,0.00019285409387466993,0.00019285409387466993,4.5912e-06
50,93,1,5.9898826140385255e-06,5.9898826140385255e-06,4.82897e-07
51,67,1,3.292344702503066e-06,3.292344702503066e-06,3.41448e-07
51,94,1,1.6973561951240523e-06,1.6973561951240523e-06,2.20414e-07
52,80,2,6.27919268607808e-06,3.2070347225449555e-06,3.37488e-07
54,87,1,4.770958329594171e-06,4.770958329594171e-06,4.36877e-07
56,63,4,6.8736454951615555e-06,3.529276426705763e-06,3.59417e-07
56,67,2,6.585037641421988e-06,5.473499234265042e-06,4.76612e-07
56,79,1,3.3109309467429246e-05,3.3109309467429246e-05,1.28257e-06
58,59,1,1.5209884613451216e-06,1.5209884613451216e-06,2.03558e-07
58,60,2,1.2238952436535226e-05,6.2049031734347e-06,5.24026e-07
58,67,1,6.750268538292268e-06,6.750268538292268e-06,5.43311e-07
58,70,1,1.6526655083482562e-06,1.6526655083482562e-06,2.08485e-07
59,66,2,1.477058870389158e-06,9.379824252478775e-07,1.47657e-07
60,93,2,7.93106222610729e-06,6.000468025012716e-06,5.12663e-07
61,86,6,0.004516092144253737,0.0016082083979410131,2.02388e-05
62,92,1,0.00011002374818206295,0.00011002374818206295,3.12566e-06
63,89,2,2.199394098389008e-06,1.7873397200040064e-06,2.3066e-07
64,76,2,5.0391116844941135e-06,3.533269794869575e-06,3.54644e-07
64,88,1,6.894051990382725e-07,6.894051990382725e-07,1.12784e-07
64,90,2,3.5395622144782267e-06,2.2374377725872066e-06,2.5778e-07
64,91,2,6.1719668225037725e-06,3.6146745192617276e-06,3.65453e-07
65,93,1,1.5815556637706433e-06,1.5815556637706433e-06,2.08692e-07
66,67,1,7.437817671451821e-06,7.437817671451821e-06,5.88121e-07
66,79,2,6.55590896366186e-05,5.014184882535146e-05,1.63755e-06
66,83,4,1.2044722570349318e-05,6.7089696651945e-06,5.30667e-07
68,72,3,6.566672547633454e-06,2.561580447578604e-06,2.90415e-07
68,91,2,1.019544312787716e-05,5.469649247995707e-06,4.76597e-07
69,100,1,1.5862447263761038e-06,1.5862447263761038e-06,2.09999e-07
70,82,2,2.970383366249643e-06,1.9748472103646397e-06,2.40738e-07
71,85,3,2.7873761836613916e-06,1.3029391819547834e-06,1.81069e-07
