mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
40,49,1,3.7348478237941634e-06,3.7348478237941634e-06,3.72006e-07
40,83,2,7.859026180870908e-06,7.823842147909172e-06,5.9903e-07
40,92,1,6.202701007783706e-06,6.202701007783706e-06,4.86152e-07
41,74,2,9.106707261859918e-06,6.168759550136478e-06,5.18275e-07
42,69,2,2.3676220400370068e-06,1.5333482212664547e-06,2.03759e-07
42,74,2,1.8263289446878708e-05,1.1202840534621074e-05,7.76771e-07
42,84,1,3.668783581368762e-06,3.668783581368762e-06,3.65598e-07
42,91,1,1.6174768293981833e-06,1.6174768293981833e-06,2.01751e-07
43,61,4,8.274472373775782e-06,3.606680447290694e-06,3.5241e-07
44,49,2,9.98316658989681e-06,5.2704316142987766e-06,4.68433e-07
44,73,2,5.805304579884825e-06,3.5391760977662585e-06,3.59527e-07
45,47,3,9.043284248242958e-06,4.341253418127074e-06,4.11899e-07
46,53,1,4.165965275371363e-06,4.165965275371363e-06,3.96269e-07
46,77,1,5.638747570604664e-06,5.638747570604664e-06,4.91316e-07
46,99,1,4.269037314383654e-06,4.269037314383654e-06,4.08234e-07
47,64,1,5.454708231326402e-06,5.454708231326402e-06,4.8247e-07
47,88,1,5.8455313699354996e-06,5.8455313699354996e-06,5.0039e-07
47,94,2,3.7067664416053892e-06,3.473580914805354e-06,3.532e-07
48,49,2,2.9265658947304806e-06,1.5930492964704511e-06,2.0485e-07
48,50,1,3.0699021170512912e-06,3.0699021170512912e-06,3.26023e-07
48,53,2,1.2340850459818113e-05,1.107141507729563e-05,7.72377e-07
48,60,1,9.746122549192627e-06,9.746122549192627e-06,7.07857e-07
48,62,1,1.2097490155630464e-06,1.2097490155630464e-06,1.75657e-07
48,98,1,1.781386525329357e-06,1.781386525329357e-06,2.28167e-07
49,62,2,7.366879743372271e-06,4.864275234122757e-06,4.45702e-07
50,92,2,4.638801136957807e-06,2.367790326653946e-06,2.6496e-07
50,93,1,4.630605038322314e-06,4.630605038322314e-06,4.31703e-07
51,67,1,3.2367390049554505e-06,3.2367390049554505e-06,3.37909e-07
51,94,1,1.7221706378143831e-06,1.7221706378143831e-06,2.23039e-07
52,80,2,6.2015176181145765e-06,3.1366053720951254e-06,3.32454e-07
54,87,1,4.815686032228534e-06,4.815686032228534e-06,4.41148e-07
56,63,4,6.885794422732533e-06,3.50632064540399e-06,3.58704e-07
56,67,2,6.669381621296753e-06,5.557038965519317e-06,4.84633e-07
56,79,1,1.883453773492729e-06,1.883453773492729e-06,2.36053e-07
58,59,1,1.4605891111365614e-06,1.4605891111365614e-06,1.98414e-07
58,60,2,1.2415528280906503e-05,6.267110957530591e-06,5.28376e-07
58,67,1,6.827815967204845e-06,6.827815967204845e-06,5.54251e-07
58,70,1,1.6604858136400925e-06,1.6604858136400925e-06,2.14164e-07
59,66,2,1.5564311017361882e-06,9.215511712726321e-07,1.47222e-07
