seed,timestep,top_displacement_mm,pebble_id,centroid_z_mm,height_bin,total_broken_bonds,event_count,step_new_broken_bonds,net_fx_N,net_fy_N,net_fz_N,net_force_N,sum_abs_subparticle_fz_N,max_subparticle_abs_fz_N,selection,selection_rank
seed03,5000,0.009997500000000001,1,0.49703125499999984,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,1
seed03,5000,0.009997500000000001,2,0.49409603939999974,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,2
seed03,5000,0.009997500000000001,3,0.5027073994000005,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,3
seed03,5000,0.009997500000000001,4,0.5056480622000001,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,4
seed03,5000,0.009997500000000001,5,0.5007924374000001,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,5
seed03,5000,0.009997500000000001,6,0.5035482902,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,6
seed03,5000,0.009997500000000001,7,0.5016433185999999,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,7
seed03,5000,0.009997500000000001,8,0.49885333080000016,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,8
seed03,5000,0.009997500000000001,9,0.5043042357999998,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,9
seed03,5000,0.009997500000000001,10,0.4985492409999999,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,10
seed03,5000,0.009997500000000001,11,0.4989653688,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,11
seed03,5000,0.009997500000000001,12,0.4952648223999999,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,12
seed03,5000,0.009997500000000001,13,0.5028359747999996,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,13
seed03,5000,0.009997500000000001,14,0.5044741829999999,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,14
seed03,5000,0.009997500000000001,15,0.4986680296000002,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,15
seed03,5000,0.009997500000000001,16,0.4949852722000005,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,16
seed03,5000,0.009997500000000001,17,0.5039741676000005,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,17
seed03,5000,0.009997500000000001,18,0.5059072382,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,18
seed03,5000,0.009997500000000001,19,0.49921938800000015,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,19
seed03,5000,0.009997500000000001,20,0.4935652497999999,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,top_force,20
seed03,5000,0.009997500000000001,500,4.3105566,8,181,7,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,1
seed03,5000,0.009997500000000001,499,4.307951320000004,8,164,5,0,0.0,0.0,0.0,0.0,0.0,0.0,top_z,2
