timestep,top_displacement_mm,pebble_id,contact_count,overlap_sum_um,max_overlap_um,hertz_proxy_sum_m32
30000,0.0724975,500,2,6.708199999999436,3.379100000000003,1.2285789028894045e-08
30000,0.0724975,499,1,0.839099999999475,0.839099999999475,7.686357527918481e-10
40000,0.0974975,499,4,10.856399999998462,5.009099999999863,2.042193572247675e-08
40000,0.0974975,498,2,5.488199999998875,3.4990999999992902,9.350711236418773e-09
40000,0.0974975,500,3,0.6172999999993003,0.29910000000007986,2.9068749288109566e-10
70000,0.1724975,498,7,19.403700000000107,5.5591000000000665,3.7870179496634775e-08
70000,0.1724975,500,7,16.99370000000054,3.7991000000001107,2.875306821103938e-08
70000,0.1724975,499,9,8.301900000001229,3.739100000000467,1.2462018010606866e-08
80000,0.1974975,498,7,21.72369999999934,6.029099999999878,4.343593067506604e-08
80000,0.1974975,500,8,20.292800000000152,4.129099999999886,3.575579737663131e-08
80000,0.1974975,499,12,18.19920000000006,3.7591000000003483,2.9104182206438234e-08
80000,0.1974975,497,2,2.378199999999997,2.0191000000002735,3.0842314312081004e-09
