mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
1,48,2,6.163724317021207e-06,3.7556091143514923e-06,3.75288e-07
2,21,1,3.967652146436857e-06,3.967652146436857e-06,3.89676e-07
2,43,2,8.638285361117234e-06,6.995823131862326e-06,5.68213e-07
2,49,1,5.189899621736436e-06,5.189899621736436e-06,4.66341e-07
3,6,3,1.292047872335512e-05,5.972186261437263e-06,5.12065e-07
3,28,2,8.092314991922143e-06,4.9343189215558415e-06,4.49916e-07
4,14,1,6.3879750525812164e-06,6.3879750525812164e-06,5.35535e-07
4,26,1,7.105996805739572e-06,7.105996805739572e-06,5.74804e-07
5,73,2,4.252361934652545e-06,3.5001405813624114e-06,3.58632e-07
5,83,4,2.071002788367316e-05,7.555342988660409e-06,5.99411e-07
6,20,1,3.19961454797199e-06,3.19961454797199e-06,3.38034e-07
6,23,2,1.2571757902751631e-05,6.908941015307628e-06,5.6304e-07
6,30,2,1.0467486659284108e-05,6.142238868214098e-06,5.20359e-07
6,73,3,2.124087760593124e-05,9.776940542905026e-06,7.11572e-07
7,19,3,4.590331207876072e-06,3.240878554586858e-06,3.40523e-07
7,89,2,4.8172530983777525e-06,2.9297006101197437e-06,3.18117e-07
8,25,2,8.285935928416568e-06,4.208722963553315e-06,4.06737e-07
8,26,4,1.587154340843258e-05,7.940882062705628e-06,6.17289e-07
8,30,3,1.3935761947077418e-05,6.845580523692714e-06,5.6102e-07
8,45,4,3.065097660239415e-05,9.01736287517587e-06,6.74337e-07
9,34,2,1.8813566493124722e-06,1.2593942423359733e-06,1.81345e-07
9,69,1,1.0409615654278499e-07,1.0409615654278499e-07,3.45245e-08
9,80,2,2.243938123758655e-06,1.7331143447966727e-06,2.24533e-07
10,39,1,2.2453316170459098e-06,2.2453316170459098e-06,2.67089e-07
11,38,1,8.604442505037732e-06,8.604442505037732e-06,6.53718e-07
11,61,1,2.8916399734874827e-06,2.8916399734874827e-06,3.15518e-07
12,41,4,1.068089520011229e-05,4.283572490464472e-06,4.09937e-07
12,60,1,9.787388495896135e-06,9.787388495896135e-06,7.11033e-07
12,73,3,3.609870357240112e-06,2.5489970134288114e-06,2.90526e-07
13,26,2,1.1195554753379048e-05,7.5286198691603495e-06,5.98216e-07
13,27,1,6.961829076394004e-06,6.961829076394004e-06,5.67197e-07
13,42,3,2.898868056639412e-05,1.737491719831781e-05,1.04109e-06
13,68,2,1.9569649233758627e-05,1.1307717363584437e-05,7.83256e-07
14,24,2,4.8322284897948985e-06,3.535313470574286e-06,3.61151e-07
14,60,2,8.236376474873527e-06,5.524714762541954e-06,4.84944e-07
14,65,1,4.0555589513211366e-07,4.0555589513211366e-07,8.37757e-08
15,88,2,6.438007384581237e-06,4.808951873932198e-06,4.43261e-07
16,21,1,1.5716712254937417e-06,1.5716712254937417e-06,2.10278e-07
16,55,1,1.6705875048911865e-07,1.6705875048911865e-07,4.706e-08
17,42,2,4.780293233432981e-06,3.691630474725768e-06,3.72346e-07
17,65,3,3.882188326019705e-06,2.2891194143862396e-06,2.70447e-07
18,22,3,9.644057781439126e-06,4.170484356561597e-06,4.02974e-07
18,52,1,2.193705868153021e-06,2.193705868153021e-06,2.62488e-07
19,20,1,2.45181354858419e-06,2.45181354858419e-06,2.83189e-07
20,35,1,7.528156080623263e-06,7.528156080623263e-06,5.97003e-07
21,38,1,2.8294420369855605e-06,2.8294420369855605e-06,3.10486e-07
22,32,2,6.952488440756859e-06,4.7924933686965075e-06,4.41033e-07
22,36,2,1.2194291337567773e-05,6.320659108044034e-06,5.32663e-07
22,54,1,9.607749654069313e-07,9.607749654069313e-07,1.51876e-07
22,85,2,2.2040161906917075e-06,2.1923339162463366e-06,2.61679e-07
23,56,1,5.253015354807274e-07,5.253015354807274e-07,9.94731e-08
23,66,2,4.4652641972253225e-06,3.3099108189751877e-06,3.45154e-07
23,89,2,1.0348672103281422e-05,6.740018510679329e-06,5.55186e-07
24,71,1,1.522914428096339e-06,1.522914428096339e-06,2.05021e-07
24,77,2,1.4578415711396217e-05,1.3581661922478411e-05,8.85296e-07
25,51,1,1.5197760161452772e-06,1.5197760161452772e-06,2.05421e-07
25,64,1,5.605604898096993e-07,5.605604898096993e-07,1.06562e-07
25,82,3,2.8424395041226028e-06,2.4851157820310908e-06,2.85422e-07
26,91,2,6.4653914815525915e-06,5.228514708633801e-06,4.68423e-07
27,34,2,7.3530375157633245e-06,4.5505182518587924e-06,4.2755e-07
28,45,1,2.829564722724151e-06,2.829564722724151e-06,3.10172e-07
28,56,2,3.0992680495335725e-06,2.312968664221591e-06,2.72085e-07
28,94,2,2.221152615031653e-06,1.4795793625919497e-06,2.02268e-07
29,32,1,7.751813432023503e-06,7.751813432023503e-06,6.08874e-07
29,52,1,5.350220809210028e-07,5.350220809210028e-07,1.02692e-07
29,65,2,1.0004817580649032e-06,5.069869856863093e-07,9.65754e-08
30,41,3,7.24353444744197e-06,3.453884365653257e-06,3.5602e-07
30,67,2,1.2556482631434227e-05,6.966946109422765e-06,5.67256e-07
31,53,4,1.832609797770132e-05,9.581247231957017e-06,7.01784e-07
32,69,4,4.5607946161254655e-06,1.4275761563629452e-06,1.97375e-07
32,87,1,3.340910924837716e-06,3.340910924837716e-06,3.47528e-07
33,49,2,1.9987748735887095e-06,1.262372118130387e-06,1.8076e-07
33,50,2,2.9012596831632576e-06,1.5252380757420658e-06,2.05761e-07
33,59,2,1.682709192051494e-06,1.0931267894265512e-06,1.64971e-07
33,73,3,7.51931529050071e-06,4.702214439102071e-06,4.36114e-07
34,69,3,3.836622684988195e-06,2.379354661256913e-06,2.76832e-07
34,84,1,2.595050946359243e-06,2.595050946359243e-06,2.93907e-07
