mother_i,mother_j,subcontacts,force_sum_N,force_max_N,overlap_max_m
40,43,3,1.9795655224419764e-06,1.1511754797323864e-06,1.72739e-07
40,49,1,4.392718231641998e-06,4.392718231641998e-06,4.10796e-07
40,83,2,8.939588548115788e-06,8.865473314048156e-06,6.22563e-07
40,92,1,7.368988850074675e-06,7.368988850074675e-06,5.44963e-07
41,74,2,8.436116769101338e-06,5.859782640175316e-06,4.96502e-07
42,69,2,2.7394252231298545e-06,1.6956469965122459e-06,2.16024e-07
42,74,2,1.8092557619683608e-05,1.1071171118400546e-05,7.70278e-07
42,84,1,3.347512982437708e-06,3.347512982437708e-06,3.47061e-07
42,91,1,1.8772297359590808e-06,1.8772297359590808e-06,2.19448e-07
43,61,4,1.624546291121087e-05,7.659961933045099e-06,5.82533e-07
44,49,2,1.0490163122323542e-05,5.3428041304730606e-06,4.68493e-07
44,73,2,6.317055799280295e-06,3.6180228255498887e-06,3.5914e-07
45,47,3,9.292601123740879e-06,4.578651305908761e-06,4.22153e-07
46,53,1,3.6953927184265546e-06,3.6953927184265546e-06,3.57733e-07
46,77,1,5.2514173706724175e-06,5.2514173706724175e-06,4.66588e-07
46,99,1,3.117686500242768e-06,3.117686500242768e-06,3.07919e-07
47,64,1,5.040053216127782e-06,5.040053216127782e-06,4.55594e-07
47,88,1,5.626449497953839e-06,5.626449497953839e-06,4.84105e-07
47,94,2,3.2246088846729648e-06,3.136802941308236e-06,3.29836e-07
48,49,3,3.5133555897367466e-06,1.909914097047299e-06,2.29205e-07
48,50,1,2.8682738803078065e-06,2.8682738803078065e-06,3.08267e-07
48,53,2,1.194554549593686e-05,1.0774131884730296e-05,7.57743e-07
48,60,1,9.535114271266106e-06,9.535114271266106e-06,6.96535e-07
48,62,1,1.422400983149618e-06,1.422400983149618e-06,1.93569e-07
48,98,1,1.8226702467371874e-06,1.8226702467371874e-06,2.27155e-07
49,62,2,7.719758098420553e-06,4.997721259544194e-06,4.51804e-07
50,92,2,9.424552783551014e-06,5.116747975426579e-06,4.52143e-07
50,93,1,5.427469087635691e-06,5.427469087635691e-06,4.7383e-07
51,67,1,3.0817955828542553e-06,3.0817955828542553e-06,3.29072e-07
51,94,1,1.5835199994868677e-06,1.5835199994868677e-06,2.05875e-07
52,80,2,6.411849787138166e-06,3.3324071937618907e-06,3.4664e-07
54,87,1,4.663234212357342e-06,4.663234212357342e-06,4.28524e-07
56,63,4,6.956124682408169e-06,3.486952723464338e-06,3.56669e-07
56,67,2,6.791210880587773e-06,5.532658207417119e-06,4.75837e-07
56,79,1,1.916571565860247e-06,1.916571565860247e-06,2.39482e-07
58,59,1,1.4148547791751952e-06,1.4148547791751952e-06,1.95652e-07
58,60,2,1.2123868039366334e-05,6.243829467818609e-06,5.25464e-07
58,67,2,6.849281243176642e-06,6.790684489721506e-06,5.3795e-07
58,70,1,1.823730336302218e-06,1.823730336302218e-06,2.18062e-07
59,66,2,1.6346277275112347e-06,9.571956298113987e-07,1.46863e-07
60,93,2,8.201995893390407e-06,6.197850208516175e-06,5.23795e-07
61,86,2,3.9873645844771966e-05,2.0235665150869146e-05,1.09766e-06
62,92,1,1.9971789036762054e-07,1.9971789036762054e-07,3.36017e-08
63,89,2,2.569833400342456e-06,1.909012899651807e-06,2.38984e-07
64,76,2,4.740040864921884e-06,3.3453691908272247e-06,3.38955e-07
64,88,1,5.6260415332452e-07,5.6260415332452e-07,9.81985e-08
64,90,2,3.544252127697891e-06,2.2631398325945304e-06,2.59534e-07
64,91,2,6.083535267475616e-06,3.5441553832471845e-06,3.59886e-07
65,93,1,1.4860308689704262e-06,1.4860308689704262e-06,1.99044e-07
66,67,1,7.318779029035924e-06,7.318779029035924e-06,5.82751e-07
66,79,1,2.38330870147029e-06,2.38330870147029e-06,2.72442e-07
66,83,4,1.382325978592667e-05,6.250146385218589e-06,5.2475e-07
68,72,3,6.523083650321446e-06,2.5034378953163587e-06,2.85401e-07
68,91,2,1.0440310846430483e-05,5.6093065633195694e-06,4.84707e-07
69,100,1,1.4164718511389485e-06,1.4164718511389485e-06,1.90764e-07
70,82,2,2.7249703410961e-06,1.8045581613638837e-06,2.27933e-07
71,85,3,3.020812316925148e-06,1.4616134011276717e-06,1.95133e-07
72,84,1,1.3232509503710926e-06,1.3232509503710926e-06,1.78817e-07
72,90,3,4.222020203434982e-06,1.4881536061368128e-06,2.01314e-07
74,82,1,1.1709187020792058e-06,1.1709187020792058e-06,1.6139e-07
74,93,2,9.711175132886855e-06,7.400783211187854e-06,5.87179e-07
74,100,1,3.465398406453434e-06,3.465398406453434e-06,3.54665e-07
75,78,2,3.323288251350739e-05,1.934049750230071e-05,1.03561e-06
75,89,1,4.791619170697939e-06,4.791619170697939e-06,4.06105e-07
77,85,1,1.5055351580451385e-06,1.5055351580451385e-06,2.03801e-07
77,87,1,4.8715676923450425e-06,4.8715676923450425e-06,4.45517e-07
77,98,2,4.391971939443395e-06,2.6811218011168383e-06,2.98546e-07
78,96,1,1.7142307018767126e-05,1.7142307018767126e-05,9.54265e-07
81,97,1,2.012544821580131e-06,2.012544821580131e-06,2.30007e-07
82,91,1,3.2117140360333204e-06,3.2117140360333204e-06,3.28604e-07
83,96,2,8.77264956422441e-06,6.792446173246351e-06,5.43555e-07
86,92,3,3.26171583726807e-05,2.6425339126075565e-05,1.34277e-06
87,93,2,5.209942264317783e-06,4.114557258381514e-06,3.94546e-07
87,95,1,1.0721657469164925e-06,1.0721657469164925e-06,1.60125e-07
92,97,1,7.862705038909955e-07,7.862705038909955e-07,1.23347e-07
93,95,2,2.2733529375636335e-06,1.9052159730544985e-06,2.24795e-07
93,98,1,2.1166273608559445e-06,2.1166273608559445e-06,2.52493e-07
95,100,1,6.835433786539739e-07,6.835433786539739e-07,1.11733e-07
97,98,2,3.6459266046921852e-06,2.805425380330049e-06,2.98076e-07
