id,x_mm,y_mm,z_mm,radius_mm
1,0.058282744593754265,-0.20634416700933733,-0.09741585539611108,0.033471647504108484
2,0.1011900851282419,-0.22608697685535872,-0.27924475541689286,0.033471647504108484
3,0.07113476399739826,0.3296694213416308,-0.11686719567514448,0.033471647504108484
4,0.1656353080297044,-0.2188044572985882,0.021238618539318577,0.033471647504108484
5,-0.007752260741648087,0.26004538605524197,0.027591625001206266,0.033471647504108484
6,0.017421310521738453,-0.06629862192192104,-0.31883277177248204,0.033471647504108484
7,0.08059934131481072,0.19691771384183188,-0.0414805814411649,0.033471647504108484
8,0.2295417899590031,0.1269787923145287,-0.36062122713113975,0.033471647504108484
9,0.2886044226764196,-0.23090470772400631,0.09703842206770885,0.033471647504108484
10,0.32553992470645343,0.16809223754409386,0.10862499102971734,0.033471647504108484
11,-0.045277210733346285,-0.2210445945667733,-0.21609478097796492,0.033471647504108484
12,-0.10428005717161765,0.17303811370266453,-0.14276112045429362,0.033471647504108484
13,0.2320428107164132,-0.24011512304832502,-0.2242197339224773,0.033471647504108484
14,0.4226395053151524,0.05201033325119209,0.04300771624441668,0.033471647504108484
15,-0.06625539753068044,0.1409841750354417,-0.33614902958325055,0.033471647504108484
16,-0.265536673030795,0.0655557916979993,-0.12777149638815877,0.033471647504108484
17,-0.14204198887419472,-0.159417620251243,0.2814728689033956,0.033471647504108484
18,0.1191485773107901,0.43962735001869957,-0.09012315917324015,0.033471647504108484
19,-0.074494359956855,-0.1304321168341499,-0.11545438455619805,0.033471647504108484
20,0.37276181823978216,0.11713823462766937,-0.05880427635449936,0.033471647504108484
21,0.1256235839279648,0.1299319106820931,-0.3769674776998313,0.033471647504108484
22,0.25414398194241183,0.10642429578847579,-0.11883716947481338,0.033471647504108484
23,-0.19357831612871934,0.040659821881262714,0.19634749732020873,0.033471647504108484
24,0.1164822822254521,-0.024420151997692985,0.4000634393379672,0.033471647504108484
25,0.2248220597712408,-0.10418145345767205,0.22658603737068528,0.033471647504108484
26,-0.02875923338804287,-0.17987182999730522,-0.4178672332988988,0.033471647504108484
27,-0.14454199788844146,-0.25676225240356865,-0.18072366367231063,0.033471647504108484
28,-0.04192042946878671,-0.29176200931474494,0.051832586936442215,0.033471647504108484
29,-0.30507681102750694,-0.05439751982726815,0.3147967776659545,0.033471647504108484
30,0.21279467139010877,-0.18748813038659967,0.12430022471776292,0.033471647504108484
31,0.23095433841937762,-0.10180797589130414,0.3226672775220405,0.033471647504108484
32,-0.18867379035788046,-0.07510484064348072,0.02570277295852319,0.033471647504108484
33,-0.10030180682899265,0.08293699509175356,-0.276984911220744,0.033471647504108484
34,-0.047979955643352834,0.043026173661710576,0.2682365675688405,0.033471647504108484
35,0.24833061484672836,-0.012958338969162042,-0.03540668067545111,0.033471647504108484
36,-0.014183884776852285,0.025354166395341382,-0.3702567133296337,0.033471647504108484
37,0.09845305407546867,0.3795017330034597,0.2353711085212591,0.033471647504108484
38,-0.05086113917809387,-0.3073652635244278,0.28418073485964923,0.033471647504108484
39,-0.13008746987817088,0.02680677870647019,-0.07703399649125425,0.033471647504108484
40,-0.34762937702628455,-0.016287173780848596,-0.19130649394335592,0.033471647504108484
41,-0.2989331384411362,0.2703864629220628,0.11781321515306653,0.033471647504108484
42,0.08920895223609404,0.3773981533536168,-0.23101038380038308,0.033471647504108484
43,0.14860889037075475,0.09144650001694765,0.4241128780263804,0.033471647504108484
44,-0.15522077577921484,-0.36136164335192444,0.05603370387863715,0.033471647504108484
45,-0.005734913145451215,0.10608091278371667,-0.03341014793830016,0.033471647504108484
