id,atom1,atom2,length_mm
1,1,19,0.1540058031013861
2,1,50,0.10389610220012419
3,1,59,0.08654780027423196
4,1,90,0.114680345192595
5,1,98,0.1559250954432471
6,1,99,0.1399269059838081
7,1,122,0.07631210883100223
8,1,185,0.13505364211812623
9,1,206,0.13012926214711829
10,1,242,0.14937326602512685
11,1,250,0.12686958395981326
12,1,281,0.0830552488361313
13,1,296,0.1388626521787569
14,1,349,0.10519942585627284
15,1,426,0.12753290548092405
16,1,443,0.08263996735811378
17,1,537,0.13755497118381674
18,1,565,0.09369599715332941
19,1,585,0.0846561891227177
20,1,604,0.09123754499733101
21,1,610,0.13325647548282143
22,1,634,0.13484234685424062
23,1,679,0.1349224365968835
24,1,725,0.09925608719559958
25,1,778,0.13157430792733868
26,1,808,0.15124260659220787
27,1,816,0.153252184879307
28,1,855,0.10025085265276067
29,1,872,0.14926610255460268
30,1,1000,0.11116952682421037
31,2,13,0.1426428325220913
32,2,90,0.09324024645871576
33,2,134,0.14248781145456357
34,2,166,0.13298681999339715
35,2,234,0.149820490869015
36,2,245,0.09403995943321243
37,2,341,0.09242739974084788
38,2,349,0.09916622832494545
39,2,357,0.14011043123821493
40,2,367,0.1413092720612341
41,2,402,0.14805716315396358
42,2,449,0.13414997417278343
43,2,450,0.11146144833718749
44,2,470,0.11566152838309478
45,2,526,0.08093835880524948
46,2,536,0.14808813967305368
47,2,571,0.10504281282890525
48,2,597,0.1440155782668822
49,2,608,0.11705493512040925
50,2,610,0.0997240889606185
51,2,635,0.14079654822979976
52,2,686,0.13732088180693808
53,2,764,0.07677633901050662
54,2,773,0.10782890979626515
55,2,778,0.12247452860374007
56,2,887,0.07437933173058986
57,2,910,0.07169114514116634
58,2,925,0.0886691062466656
59,2,944,0.13097513693671306
60,2,976,0.13145779123906895
61,3,7,0.15295664638573997
62,3,18,0.12292809213625573
63,3,42,0.12503349765304256
64,3,48,0.07227706647564416
65,3,138,0.12201713587347768
66,3,176,0.12806907805236964
67,3,181,0.1329725968233469
68,3,213,0.14142271624493485
69,3,235,0.11971021501863476
70,3,276,0.15202572078014248
71,3,284,0.10770914161253702
72,3,326,0.07602886717722684
73,3,451,0.12676852427180532
74,3,458,0.12141238426835323
75,3,459,0.0690660139365803
76,3,503,0.1482776654351265
77,3,538,0.15304654861336123
78,3,549,0.10344210227339584
79,3,559,0.14699408437711972
80,3,567,0.1369825499553426
81,3,584,0.13748861578215507
82,3,648,0.13645761859763292
83,3,651,0.08160849920914605
84,3,671,0.07377916921287903
85,3,682,0.11365928994519241
86,3,739,0.13499720102413346
87,3,794,0.0822372149317924
88,3,818,0.12314386989800148
89,3,836,0.08877815624885482
90,3,851,0.09825122539659209
91,3,931,0.12298031271319504
92,3,959,0.13061794148518954
93,3,963,0.14553790552827708
94,3,978,0.13260351132315784
95,3,987,0.06990469839372067
96,4,9,0.14496009599989024
97,4,30,0.1175857667912998
98,4,50,0.11490451549619866
99,4,59,0.14299698549252382
100,4,117,0.09939762640422076
101,4,142,0.109229557954864
102,4,145,0.15029310450628516
103,4,178,0.07082077739072155
104,4,206,0.0826686351747872
105,4,218,0.15654289020371603
106,4,287,0.13615574377150463
107,4,295,0.1084530339312717
108,4,296,0.07368816648289642
109,4,323,0.14304919807190516
110,4,366,0.15565678458679988
111,4,377,0.10261292415464918
112,4,481,0.1408919756943855
113,4,499,0.09276561980576012
114,4,544,0.09871303368122857
115,4,565,0.13029240375487336
116,4,570,0.1256502490651748
117,4,585,0.11364665082337513
118,4,642,0.15373287236574784
119,4,703,0.11579256089637563
120,4,715,0.14676096755544485
121,4,725,0.1339494154780994
122,4,745,0.1511178298553896
123,4,750,0.10286541659866483
124,4,780,0.13745423599097517
125,4,808,0.14975531819585827
126,4,809,0.14261370785274272
127,4,876,0.1442687479613581
128,4,915,0.06930385404263979
129,5,7,0.12869373833968825
130,5,64,0.1542577019854161
131,5,74,0.11884584436589121
132,5,75,0.14453991137669603
133,5,86,0.15006225449612465
134,5,91,0.09102246991911404
135,5,106,0.11704202410580948
136,5,125,0.13896360406655134
137,5,284,0.09558860040768116
138,5,332,0.068987121647696
139,5,353,0.1357275172645124
140,5,368,0.15359008604441893
141,5,378,0.10725879754846739
142,5,389,0.14366964893145845
143,5,410,0.1398682365021946
144,5,459,0.11753427172297343
145,5,500,0.11410045348812556
146,5,556,0.10863901217296631
147,5,583,0.15591913304562627
148,5,584,0.14390295044380344
149,5,596,0.08654210948606221
150,5,682,0.0954138047819098
151,5,697,0.09660225486193742
152,5,723,0.11931198598054692
153,5,741,0.13303346957520681
154,5,800,0.15038011842351526
155,5,802,0.10809575921724905
156,5,806,0.12937237718986683
157,5,818,0.12561897705490319
158,5,822,0.06946557081154206
159,5,851,0.14772478184709373
160,5,959,0.13644239001118122
161,5,973,0.15085154275158869
162,6,36,0.10974308060859386
163,6,82,0.08135356975472445
164,6,164,0.07131552463121688
165,6,196,0.1404651822410965
166,6,234,0.1287335845759287
167,6,244,0.11474339781601467
168,6,245,0.13243904024374406
169,6,293,0.06887633934418042
170,6,336,0.09534817258829034
171,6,344,0.132357636618721
172,6,351,0.13830919635480118
173,6,360,0.1335535092718981
174,6,367,0.08067923573148297
175,6,372,0.1556240053326488
176,6,398,0.1533976039914187
177,6,414,0.14520339723560852
178,6,435,0.09313760073489868
179,6,441,0.15401236719165565
180,6,450,0.1379448708776964
181,6,517,0.12758889057495187
182,6,528,0.07698245592286054
183,6,608,0.1445643599452445
184,6,635,0.14388263178232996
185,6,679,0.1554519495532792
186,6,710,0.09461579427018822
187,6,760,0.13114325600017732
188,6,764,0.1365497091164955
189,6,788,0.09463746629006457
190,6,866,0.14260286154966442
191,6,875,0.13570275292581335
192,6,944,0.07125373400199864
193,6,976,0.07342045725436389
194,7,45,0.12557889877127057
195,7,86,0.12904195572265764
196,7,91,0.14910402590157126
197,7,138,0.11462382326757613
198,7,167,0.13194039076222172
199,7,171,0.12208433555715584
200,7,172,0.12244509807699804
201,7,267,0.15694371716432268
202,7,284,0.1270284420917503
203,7,326,0.13055563615695942
204,7,332,0.10095258462573936
205,7,381,0.1504440409486893
206,7,387,0.08116594256140265
207,7,393,0.1077059307956272
208,7,445,0.15681454187233193
