event_index,timestep,pebble_id,pebble_z_mm,rank_from_top,reference_step,initial_internal_bonds,intact_internal_bonds,broken_internal_bonds,delta_broken_since_previous_dump,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N,side_force_z_N,all_wall_force_z_N
1,70000,70,2.9857,2,20000,4935,4930,5,5,5,5,5.9e-05,0.059,0.21878197,-0.16857865,0.0046658312,0.054869145
2,70000,97,2.97561,3,20000,4935,4930,5,5,5,5,5.9e-05,0.059,0.21878197,-0.16857865,0.0046658312,0.054869145
