pebble_id,initial_x,initial_y,initial_z,initial_radius_xy,height_bin,event_count,total_new_broken_bonds,first_event_timestep,first_event_top_displacement_mm,first_event_force_N,last_event_top_displacement_mm
1,0.00238654,0.000993801,0.00049954,0.0025851912113422095,1,0,0,,,,
2,-0.000237052,-0.00218098,0.00049957,0.00219382483601221,1,0,0,,,,
3,-0.00359739,-0.00209981,0.000499677,0.004165383157429818,1,0,0,,,,
4,-0.00364876,0.00129647,0.000499679,0.003872245343273073,1,0,0,,,,
5,-0.000788665,0.00352384,0.000499685,0.0036110165920174055,1,0,0,,,,
6,0.00254769,-0.00179792,0.000499693,0.0031182111318029766,1,0,0,,,,
7,-0.00112522,-0.00410423,0.000499694,0.004255681372154171,1,0,0,,,,
8,-0.0023251,0.0005352,0.000499702,0.0023859021459397703,1,0,0,,,,
9,-0.00327499,-0.00304626,0.000499703,0.004472723944946748,1,0,0,,,,
10,0.00129438,0.00174234,0.000499708,0.002170522577629636,1,0,0,,,,
11,0.00433146,0.00221308,0.000499708,0.0048640794419910535,1,0,0,,,,
12,0.0049994,-0.00411125,0.000499714,0.0064727410671600325,1,0,0,,,,
13,-0.0030353,0.0038561,0.000499722,0.0049073978135056465,1,0,0,,,,
14,-0.00439062,0.00238863,0.000499723,0.0049983094403308,1,0,0,,,,
15,-0.00104704,0.00499274,0.000499726,0.005101347417026211,1,0,0,,,,
16,-0.00117891,-0.00251616,0.000499739,0.002778648940348528,1,0,0,,,,
17,0.00500012,0.00400071,0.000499739,0.006403661493122509,1,0,0,,,,
18,0.00499788,-0.000848702,0.000499746,0.005069427934116827,1,0,0,,,,
19,-0.00374673,0.00315352,0.000499752,0.004897210847339534,1,0,0,,,,
20,0.00413181,0.00350494,0.000499752,0.00541816004559666,1,0,0,,,,
21,0.00356628,-0.00101858,0.000499753,0.0037088890863437797,1,0,0,,,,
22,0.00336013,-0.00500012,0.000499761,0.006024257102025112,1,0,0,,,,
23,-0.00499891,0.00418335,0.000499761,0.006518398454421147,1,0,0,,,,
24,0.00181068,0.00287725,0.000499764,0.003399577859808479,1,0,0,,,,
25,0.00409441,0.000587172,0.000499772,0.004136298370002338,1,0,0,,,,
26,-0.00266505,0.00147536,0.000499772,0.003046174425751093,1,0,0,,,,
27,-0.00410656,-0.00123932,0.000499775,0.004289492871657441,1,0,0,,,,
28,0.00223968,0.004988,0.000499776,0.005467751869132322,1,0,0,,,,
29,-0.000521271,0.00226722,0.00049978,0.0023263727095719205,1,0,0,,,,
30,-0.00144272,6.52142e-05,0.000499782,0.0014441931623857109,1,0,0,,,,
31,0.00226407,0.00198612,0.000499783,0.0030117578952000776,1,0,0,,,,
32,0.00286556,-0.00309816,0.00049979,0.004220193064209267,1,0,0,,,,
33,-0.00053279,0.000668364,0.000499792,0.000854737164627817,1,0,0,,,,
34,0.00191152,0.00387201,0.000499792,0.004318144294775245,1,0,0,,,,
35,0.00186712,-0.00315264,0.000499793,0.0036640518642617496,1,0,0,,,,
36,-4.77121e-05,-0.000717377,0.000499794,0.0007189618937158005,1,0,0,,,,
37,0.00141544,-0.00500012,0.000499798,0.005196601813493122,1,0,0,,,,
38,-0.0030824,-0.00402731,0.000499799,0.005071529906852566,1,0,0,,,,
39,-0.00389307,-0.005,0.000499802,0.006336875730586801,1,0,0,,,,
40,-0.00407668,-0.00392207,0.000499804,0.005657026861108227,1,0,0,,,,
41,0.0016653,0.000106902,0.000499813,0.001668727697260401,1,0,0,,,,
42,-0.00441974,0.00500014,0.000499813,0.0066734924655085966,1,0,0,,,,
43,-0.00177403,-0.00171268,0.000499815,0.002465857908173137,1,0,0,,,,
44,0.00332273,-4.85835e-05,0.000499816,0.0033230851643273078,1,0,0,,,,
45,-0.00213826,0.0034142,0.000499818,0.004028513059132365,1,0,0,,,,
46,0.00476875,-0.00313839,0.000499821,0.005708806210986672,1,0,0,,,,
47,0.00500012,-0.0019223,0.000499824,0.005356905571727021,1,0,0,,,,
48,0.00103531,-0.000943863,0.00049983,0.001400979713939142,1,0,0,,,,
49,0.00400246,-0.00422978,0.000499831,0.005823291586379648,1,0,0,,,,
50,-0.00417832,-0.000221424,0.000499841,0.004184182908307905,1,0,0,,,,
51,-0.00295021,0.00500005,0.000499841,0.005805535207592837,1,0,0,,,,
52,0.000870911,-0.00226027,0.000499842,0.0024222523491207516,1,0,0,,,,
53,0.000415497,-0.00500019,0.000499847,0.005017423421748358,1,0,0,,,,
54,9.02392e-05,0.00400179,0.000499848,0.004002807304544729,1,0,0,,,,
55,0.00278923,0.00337405,0.000499849,0.004377672600298017,1,0,0,,,,
