event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,25000,1000,15,15,5.99975e-05,0.0599975,4.0230582,0
2,26000,1000,9,24,6.24975e-05,0.062497500000000004,4.3640218,0
3,27000,1000,13,37,6.49975e-05,0.0649975,0.027662972,0
4,35000,999,1,1,8.49975e-05,0.08499749999999999,10.118506,0
5,36000,999,15,16,8.74975e-05,0.0874975,11.561059,0
6,36000,1000,10,47,8.74975e-05,0.0874975,11.561059,0
7,37000,999,7,23,8.99975e-05,0.0899975,12.727208,0
8,39000,1000,9,56,9.49975e-05,0.09499750000000001,12.603889,0
9,40000,999,18,41,9.74975e-05,0.0974975,8.2000774,0
10,40000,1000,2,58,9.74975e-05,0.0974975,8.2000774,0
11,41000,1000,12,70,9.99975e-05,0.0999975,7.6340636,0
12,42000,1000,2,72,0.0001024975,0.1024975,11.628806,0
13,43000,998,1,1,0.0001049975,0.10499750000000001,14.293721,0
14,43000,999,10,51,0.0001049975,0.10499750000000001,14.293721,0
15,44000,998,11,12,0.0001074975,0.1074975,10.451367,0
16,44000,1000,16,88,0.0001074975,0.1074975,10.451367,0
17,46000,1000,6,94,0.0001124975,0.1124975,16.369061,0
18,47000,998,11,23,0.0001149975,0.1149975,19.035039,0
19,47000,1000,1,95,0.0001149975,0.1149975,19.035039,0
20,48000,998,11,34,0.0001174975,0.1174975,22.152523,0
21,49000,997,4,4,0.0001199975,0.1199975,21.235566,0
22,49000,998,17,51,0.0001199975,0.1199975,21.235566,0
