metric,value
source_csv,data/processed/SP-002-fastload-supported_thermo.csv
rows,31
peak_top_force_N,6.6667005
peak_top_force_displacement_mm,0.135
peak_bottom_force_N,5.4774384
peak_bottom_force_displacement_mm,0.135
final_intact_bonds,6530.0
final_broken_bonds,193.0
first_break_displacement_mm,0.10500000000000001
first_break_step,21000.0
