Step,Atoms,KinEng,erot
0,0,0,0
1,40,9.8942223e-07,0
1,40,9.8942223e-07,0
10000,40,9.5485541e-12,0
20000,40,9.5485541e-12,0
30000,40,9.5485541e-12,0
40000,40,9.5485541e-12,0
50000,40,9.5485541e-12,0
60000,40,9.5485541e-12,0
70000,40,9.5485541e-12,0
80000,40,9.5485541e-12,0
80001,40,9.5485541e-12,0
