metric,value
source_csv,data/processed/SP-002-CAL1-matched0p10ms-0p3mm_thermo.csv
force_threshold_N,0.05
fit_points,6
initial_stiffness_N_per_mm,483.4290171447912
intercept_N,-48.50379097781584
