Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
4200,50000,7.9213284e-07,0,6.9427407e-07,-0.0053342722,-0.00056970948,-0.0059032874,0,0,493486
4300,50000,7.7027603e-07,0,0,-0.004042904,0.00037204227,-0.0036708618,0,0,493486
4400,50000,7.4572113e-07,0,0,-0.003261735,-0.0010671143,-0.0043288494,0,0,493486
4500,50000,7.2657945e-07,0,0,-0.0031728634,-0.0026108214,-0.0057836848,0,0,493486
4600,50000,7.0828701e-07,0,0,-0.0056689097,-0.0021340537,-0.0078029634,0,0,493486
4700,50000,6.900192e-07,0,0,-0.0073650258,-0.001592603,-0.0089576288,0,0,493486
4800,50000,6.7020198e-07,0,0,-0.0058930249,-0.001253532,-0.0071465569,0,0,493486
4900,50000,6.540328e-07,0,0.00022315801,-0.0063631895,-0.0014035575,-0.007543589,0,0,493486
5000,50000,6.3626552e-07,0,0.001410657,-0.0065457946,-0.00068661688,-0.0058217545,0,0,493486
5001,50000,6.361191e-07,0,0.0014217888,-0.0065249758,-0.00066824856,-0.0057714356,0,0,493486
5001,50000,6.361191e-07,0,0.0028429854,-0.013046677,-0.0013364748,-0.011540166,0,0,0
5001,50000,6.361191e-07,0,0.0042641821,-0.019568377,-0.0020047011,-0.017308896,0,0,0
5100,50000,6.1464761e-07,0,0.0028209393,-0.0047795097,0.00094572031,-0.0010128501,0,0,493486
5200,50000,6.0045201e-07,0,0.0048227925,-0.0032319457,0.0018002387,0.0033910855,0,0,493486
5300,50000,5.8317474e-07,0,0.007309716,-0.0047397113,0.00093467336,0.003504678,0,0,493486
5400,50000,5.6715509e-07,0,0.010664041,-0.0028032722,0.0020571049,0.0099178735,0,0,493486
5500,50000,5.5326322e-07,0,0.012182553,-0.0023738297,0.0038626819,0.013671405,0,0,493486
5600,50000,5.3653314e-07,0,0.012505324,-0.001865402,0.0023932839,0.013033206,0,0,493486
5700,50000,5.1975318e-07,0,0.012130083,-0.00065455641,0.00041840732,0.011893934,0,0,493486
5800,50000,5.0588852e-07,0,0.010651056,-7.0167773e-05,0.0017159388,0.012296827,0,0,493486
5900,50000,4.9194067e-07,0,0.0093182748,-7.4849883e-05,0.0016308624,0.010874287,0,0,493486
6000,50000,4.7867855e-07,0,0.0067889108,-0.00037868808,0.0010946068,0.0075048295,0,0,493486
6001,50000,4.7848842e-07,0,0.0067659066,-0.00038345707,0.0010959983,0.0074784478,0,0,493486
6001,50000,4.7848842e-07,0,0.013532314,-0.0007669783,0.0024987101,0.015264046,0,0,0
