pebble_id,initial_x,initial_y,initial_z,initial_radius_xy,height_bin,event_count,total_new_broken_bonds,first_event_timestep,first_event_top_displacement_mm,first_event_force_N,last_event_top_displacement_mm
1,-0.00368802,-0.000407506,0.00049929,0.0037104652889409975,1,0,0,,,,
2,0.00185962,-0.00313089,0.000499383,0.0036415187403746807,1,0,0,,,,
3,-0.000396422,-0.00106295,0.000499393,0.001134465999747899,1,0,0,,,,
4,0.000167318,-0.00494728,0.000499418,0.004950108555529262,1,0,0,,,,
5,0.00400865,-0.00149901,0.000499421,0.004279755343778426,1,0,0,,,,
6,0.00400058,-0.00499943,0.000499424,0.006403041516443572,1,0,0,,,,
7,-0.0040247,-0.00319188,0.000499466,0.005136760460095448,1,0,0,,,,
8,0.000557179,0.0028646,0.000499484,0.0029182840159999853,1,0,0,,,,
9,0.00358385,0.00116472,0.000499488,0.0037683621775116043,1,0,0,,,,
10,-0.00331283,0.00239756,0.000499499,0.004089393177783227,1,0,0,,,,
11,-0.00144424,0.00161382,0.00049952,0.0021656971556521932,1,0,0,,,,
12,0.00342514,0.00254872,0.000499522,0.004269374387190704,1,0,0,,,,
13,-0.00354004,0.00448016,0.000499532,0.005709966447116831,1,0,0,,,,
14,0.000303573,0.00428953,0.000499535,0.004300258618644813,1,0,0,,,,
15,-0.00115858,-0.00170976,0.00049954,0.0020653297252496996,1,0,0,,,,
16,0.000404886,-0.000465191,0.000499547,0.0006167133365486756,1,0,0,,,,
17,-0.00116817,-0.00500027,0.00049955,0.005134911997473764,1,0,0,,,,
18,-0.00159641,0.0049927,0.00049957,0.005241715194294707,1,0,0,,,,
19,-0.00208661,-0.00021469,0.000499571,0.0020976255834156865,1,0,0,,,,
20,-0.00495403,-3.34144e-05,0.000499575,0.004954142686987059,1,0,0,,,,
21,0.00457041,0.00391192,0.00049958,0.006015959246412828,1,0,0,,,,
22,0.00320716,0.000171144,0.000499581,0.003211723140984602,1,0,0,,,,
23,0.0022152,0.00178766,0.000499587,0.0028465486673513946,1,0,0,,,,
24,-0.00459066,0.00369126,0.000499601,0.0058906332107168235,1,0,0,,,,
25,-0.00102481,0.00414834,0.000499607,0.004273050466785994,1,0,0,,,,
26,0.0013044,0.0022002,0.000499608,0.002557799718508077,1,0,0,,,,
27,0.00151845,0.00319358,0.000499613,0.0035361905518368213,1,0,0,,,,
28,-0.00294101,0.000565185,0.00049964,0.002994824519788263,1,0,0,,,,
29,-0.000356329,0.00109353,0.000499644,0.0011501209576131547,1,0,0,,,,
30,-0.00499611,0.000965449,0.000499656,0.005088536813633267,1,0,0,,,,
31,0.00300875,-0.00149446,0.000499657,0.0033594623459863335,1,0,0,,,,
32,0.000956887,-0.00419293,0.00049966,0.004300731881397514,1,0,0,,,,
33,0.000920403,-0.00136464,0.00049967,0.0016460206596543678,1,0,0,,,,
34,-0.00460912,-0.00407894,0.000499671,0.006154814269984107,1,0,0,,,,
35,0.00499903,-0.00163537,0.000499679,0.005259727747497963,1,0,0,,,,
36,-0.000369556,-0.00392552,0.000499704,0.003942876983566187,1,0,0,,,,
37,0.00229579,-0.00500009,0.000499707,0.005501958899537509,1,0,0,,,,
38,0.00244182,0.00081401,0.000499707,0.00257392641551774,1,0,0,,,,
39,-0.000986729,0.00250951,0.000499707,0.0026965300961682218,1,0,0,,,,
40,0.00500012,0.00256144,0.00049971,0.005618022328898311,1,0,0,,,,
41,-0.00208223,-0.00280796,0.000499735,0.003495757590923604,1,0,0,,,,
42,0.00500006,0.00131632,0.00049974,0.005170425354455859,1,0,0,,,,
43,0.00241512,-0.00396233,0.000499745,0.00464035167237355,1,0,0,,,,
44,0.000750982,-0.00299369,0.000499747,0.0030864467888534865,1,0,0,,,,
45,0.00143515,-0.00222573,0.000499751,0.002648306922431764,1,0,0,,,,
46,-0.00311987,-0.00276695,0.000499755,0.004170084066226962,1,0,0,,,,
47,-0.0030481,-0.00149735,0.000499756,0.0033960227667817543,1,0,0,,,,
48,-0.00498886,0.0019719,0.000499757,0.005364430418003388,1,0,0,,,,
49,-0.00410801,0.000499717,0.000499761,0.004138292309659746,1,0,0,,,,
50,0.000239648,-0.00213318,0.000499762,0.002146599188554771,1,0,0,,,,
51,0.00309143,-0.0032261,0.000499765,0.0044681831492117685,1,0,0,,,,
52,-0.00500039,-0.00297408,0.00049977,0.005817993812174435,1,0,0,,,,
53,0.000170814,0.00194279,0.000499776,0.0019502846988827041,1,0,0,,,,
54,-0.00360946,-0.00410143,0.000499786,0.00546350890330564,1,0,0,,,,
55,0.00500024,-0.00499998,0.000499791,0.007071223377747305,1,0,0,,,,
56,-0.000473322,1.24726e-05,0.000499806,0.0004734863054352892,1,0,0,,,,
57,-0.0024538,0.00143835,0.00049981,0.0028442899223707838,1,0,0,,,,
58,0.00103588,0.00500015,0.000499815,0.005106324254970497,1,0,0,,,,
59,0.00234323,0.00378177,0.000499818,0.004448877517509332,1,0,0,,,,
60,0.00318561,0.00450623,0.000499829,0.005518534215260426,1,0,0,,,,
61,-0.00500003,-0.00500008,0.000499834,0.0070711455936997925,1,0,0,,,,
62,-0.00301877,0.00362682,0.000499834,0.004718770562900891,1,0,0,,,,
63,-0.00214908,0.004157,0.000499834,0.004679657449685821,1,0,0,,,,
64,0.00394635,-0.000501566,0.000499849,0.003978095873009599,1,0,0,,,,
65,-0.00268624,0.00500022,0.000499851,0.005676097725198183,1,0,0,,,,
66,0.00500009,0.00481479,0.000499854,0.006941404955208996,1,0,0,,,,
67,-0.00358507,0.00143446,0.000499855,0.0038613990206271096,1,0,0,,,,
68,-0.00426223,0.00274695,0.000499855,0.005070733563834724,1,0,0,,,,
69,-0.000301773,0.00345756,0.000499858,0.0034707042652938613,1,0,0,,,,
70,0.0042173,0.00193837,0.000499868,0.004641432704122726,1,0,0,,,,
71,-0.00133513,0.000519047,0.00049987,0.0014324740504138285,1,0,0,,,,
72,0.00244929,0.00276716,0.000499885,0.00369542906435775,1,0,0,,,,
73,-0.00404813,-0.00134034,0.00049989,0.0042642546608405085,1,0,0,,,,
74,0.00499996,-0.00400005,0.000499899,0.006403124237753004,1,0,0,,,,
75,-0.00164863,0.00329124,0.000499905,0.003681065282564274,1,0,0,,,,
76,0.00229545,0.00496178,0.000499906,0.005467024004968334,1,0,0,,,,
77,0.00244612,-0.00232106,0.000499907,0.0033720650316979356,1,0,0,,,,
78,-0.00207752,0.00238764,0.000499915,0.0031649508874546533,1,0,0,,,,
79,-0.00313586,-0.00498215,0.00049992,0.005886886831093324,1,0,0,,,,
80,-0.00182706,-0.00419691,0.000499921,0.004577357511894827,1,0,0,,,,
81,0.00411512,-0.00351461,0.000499921,0.0054117184023653704,1,0,0,,,,
82,-0.00500007,-0.00103222,0.000499921,0.005105504689381844,1,0,0,,,,
83,-0.00267984,-0.00366725,0.000499931,0.004542055150270635,1,0,0,,,,
84,0.00385433,-0.00254751,0.000499935,0.004620137113657992,1,0,0,,,,
85,-0.00125819,-0.00337449,0.000499937,0.00360141983614796,1,0,0,,,,
86,0.00338738,-0.00420716,0.000499939,0.0054013459924355895,1,0,0,,,,
87,0.0049567,-0.00295167,0.000499939,0.0057689887050418115,1,0,0,,,,
88,-0.000657396,-0.0025751,0.000499939,0.0026576887535631403,1,0,0,,,,
89,0.00195925,-0.00136603,0.000499939,0.00238845107201299,1,0,0,,,,
90,-0.00207759,-0.00125208,0.000499939,0.0024257132012049567,1,0,0,,,,
91,0.0049509,-0.000631784,0.000499939,0.004991048169739098,1,0,0,,,,
92,0.00156953,-0.000444859,0.000499939,0.0016313564756916252,1,0,0,,,,
93,0.00468133,0.000337119,0.000499939,0.00469345286426326,1,0,0,,,,
94,0.00146681,0.000576025,0.000499939,0.0015758605194385069,1,0,0,,,,
95,0.00352672,0.00354837,0.000499939,0.005002867539251864,1,0,0,,,,
96,-0.00499931,0.00499686,0.000499939,0.007068359805195262,1,0,0,,,,
97,-0.000416444,0.00499766,0.000499939,0.005014980666038105,1,0,0,,,,
98,0.00403511,0.00500004,0.00068514,0.0064251469021104875,1,0,0,,,,
99,-0.00485942,-0.00200318,0.000692581,0.005256110049152319,1,0,0,,,,
100,0.00146121,0.00414596,0.000798372,0.0043959207210435445,1,0,0,,,,
101,-0.00121287,-0.000581866,0.000818007,0.0013452217954136782,1,0,0,,,,
102,0.000344895,0.000470928,0.000846075,0.0005837171765581342,1,0,0,,,,
103,-0.00390805,-0.00226455,0.000854949,0.0045167512113243515,1,0,0,,,,
104,-0.00406791,-0.00500009,0.000861715,0.006445835227199033,1,0,0,,,,
105,0.0009325,0.00134841,0.000867972,0.0016394406906320217,1,0,0,,,,
106,-0.00223515,-0.00500003,0.000933898,0.005476878264431299,1,0,0,,,,
107,-0.00284928,-0.000628616,0.000995738,0.0029177996150962803,1,0,0,,,,
108,0.00238279,-3.28222e-05,0.00102757,0.002383016047137081,1,0,0,,,,
109,0.00304917,0.00180449,0.00105092,0.00354310906535489,1,0,0,,,,
110,0.00173342,-0.00441883,0.00108716,0.004746662350041343,1,0,0,,,,
111,-0.00213685,0.000588274,0.00109302,0.0022163470444801735,1,0,0,,,,
112,-9.14851e-06,-0.00321921,0.00110891,0.0032192229993175713,1,0,0,,,,
113,-0.000210796,0.00267031,0.00110957,0.0026786172645071934,1,0,0,,,,
114,-0.00416626,0.00196556,0.00111626,0.004606641781297955,1,0,0,,,,
115,-0.0026264,-0.0021581,0.00112027,0.003399319427473682,1,0,0,,,,
116,-0.00261028,0.00296007,0.00112309,0.003946590437744966,1,0,0,,,,
117,-0.000690298,0.00179318,0.00113116,0.0019214592999082754,1,0,0,,,,
118,-0.00359642,0.00312459,0.00114324,0.004764168288851686,1,0,0,,,,
119,0.00422546,-0.00427026,0.00114553,0.00600746474639677,1,0,0,,,,
120,0.000923026,-0.00500025,0.00115106,0.005084729792149825,1,0,0,,,,
121,0.000637243,0.00361386,0.00115617,0.0036696134320455334,1,0,0,,,,
122,0.00457954,0.00317137,0.00117077,0.005570437531154981,1,0,0,,,,
123,0.00430452,0.00112297,0.00119129,0.004448590119498537,1,0,0,,,,
124,-0.00163356,-0.00224737,0.00119531,0.0027783430656598187,1,0,0,,,,
125,0.000324082,0.00500036,0.00120196,0.005010851152481383,1,0,0,,,,
126,0.000213694,-0.00142399,0.00120429,0.001439934944966612,1,0,0,,,,
127,0.000253929,-0.00424996,0.00121083,0.004257539188150944,1,0,0,,,,
128,0.00391163,0.00414409,0.00121496,0.005698625376790441,1,0,0,,,,
129,0.00185616,0.0011907,0.00121659,0.0022052429425349035,1,0,0,,,,
130,-0.00467244,0.00438172,0.00121769,0.006405557408375949,1,0,0,,,,
131,0.00315805,-0.00253485,0.00121873,0.00404953630987549,1,0,0,,,,
132,-0.00097586,0.00338001,0.00123431,0.0035180634359971395,1,0,0,,,,
133,-0.00295943,-0.00428164,0.00123769,0.005204869548269197,1,0,0,,,,
134,-0.000502496,-0.00491558,0.00124059,0.004941197118757356,1,0,0,,,,
135,-0.00036519,0.0042623,0.00124204,0.004277915967629565,1,0,0,,,,
136,0.00270994,-0.00451967,0.0012756,0.005269837920894721,1,0,0,,,,
137,0.00166616,0.0050001,0.00127604,0.005270397438106543,1,0,0,,,,
138,-0.00422802,-0.000724822,0.00127784,0.004289699296230914,1,0,0,,,,
139,-0.00302345,0.00118869,0.00128971,0.0032487280308760844,1,0,0,,,,
140,0.00293937,0.00392311,0.00128994,0.004902110572906327,1,0,0,,,,
141,0.00431369,-0.000979969,0.00129771,0.00442360267848063,1,0,0,,,,
142,0.000835773,-0.00220092,0.00129945,0.0023542653533382765,1,0,0,,,,
143,0.00435575,-0.00297356,0.00130569,0.005273956497365143,1,0,0,,,,
144,0.00210404,0.00324394,0.00130814,0.003866539931928804,1,0,0,,,,
145,0.00128465,-0.00323215,0.0013108,0.003478091322119073,1,0,0,,,,
146,-0.00273342,0.00413699,0.001311,0.004958454512900164,1,0,0,,,,
147,0.00113034,0.00275741,0.00131103,0.002980097049376077,1,0,0,,,,
148,0.00098136,-0.000414856,0.00131431,0.0010654449541557742,1,0,0,,,,
149,0.00500021,-0.00220539,0.00132082,0.0054649652419937675,1,0,0,,,,
150,0.00354567,-0.0035595,0.00132575,0.005024123406018208,1,0,0,,,,
151,-0.000272108,-0.000514687,0.00132587,0.0005821902366348993,1,0,0,,,,
152,-0.00103447,0.00500025,0.00132613,0.005106136332237909,1,0,0,,,,
153,-0.00158649,0.00416647,0.00132621,0.004458298193369304,1,0,0,,,,
154,0.00266697,-0.00106126,0.00133312,0.002870366138404646,1,0,0,,,,
155,-0.000534504,0.000573482,0.00133444,0.0007839490610620055,1,0,0,,,,
156,0.00295605,0.00500015,0.00133829,0.005808591191072066,1,0,0,,,,
157,-0.0021382,0.00500015,0.0013398,0.0054381429976141675,1,0,0,,,,
158,0.00401463,-0.00203451,0.0013432,0.004500720495320722,1,0,0,,,,
159,0.00412467,7.56869e-07,0.00134519,0.004124670069442002,1,0,0,,,,
160,0.00304863,0.00291938,0.00134829,0.004221009886425285,1,0,0,,,,
161,-0.00142281,-0.0045409,0.00134989,0.0047585881420963505,1,0,0,,,,
162,-0.00275035,-0.00314091,0.00135001,0.004174894100525186,1,0,0,,,,
163,-0.00447964,-0.00293721,0.00135236,0.005356713275292976,1,0,0,,,,
164,0.00388275,0.0023242,0.00135946,0.004525224105223961,1,0,0,,,,
165,-0.00403932,0.0010043,0.00136007,0.0041622979893803855,1,0,0,,,,
166,-0.00355701,-0.00147626,0.00136026,0.003851189910625027,1,0,0,,,,
167,-0.00148017,0.00243787,0.0013662,0.0028520367048479583,1,0,0,,,,
168,-0.00077149,-0.00138108,0.00136969,0.0015819541037906252,1,0,0,,,,
169,0.00341464,0.000704362,0.00137039,0.0034865301026441747,1,0,0,,,,
170,-0.00368195,-0.00353955,0.00137171,0.00510736429139336,1,0,0,,,,
171,-0.00500019,-0.00379045,0.00137321,0.006274504860034774,1,0,0,,,,
172,-0.00500021,0.00245159,0.0013768,0.005568877227251468,1,0,0,,,,
173,-0.00500016,0.00345128,0.00137953,0.006075601506353095,1,0,0,,,,
174,-0.00231556,0.00188871,0.00138167,0.002988150527952031,1,0,0,,,,
175,0.00218943,0.00225077,0.00138527,0.003139995114295562,1,0,0,,,,
