event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,28000,1000,15,15,6.74975e-05,0.0674975,4.8946232,0
2,29000,1000,8,23,6.99975e-05,0.06999749999999999,5.4221592,0
3,32000,1000,20,43,7.74975e-05,0.0774975,2.5324407,0
4,37000,1000,6,49,8.99975e-05,0.0899975,8.8616592,0
5,38000,1000,2,51,9.24975e-05,0.0924975,9.1503351,0
6,39000,1000,2,53,9.49975e-05,0.09499750000000001,9.7287962,0
7,54000,961,1,1,0.0001324975,0.13249750000000002,12.932749,0
8,55000,1000,9,62,0.0001349975,0.1349975,12.282909,0
9,56000,1000,1,63,0.0001374975,0.1374975,12.976522,0
10,57000,961,11,12,0.0001399975,0.1399975,13.274471,0
11,57000,980,4,4,0.0001399975,0.1399975,13.274471,0
12,58000,980,8,12,0.0001424975,0.1424975,13.352004,0
13,59000,980,9,21,0.0001449975,0.1449975,13.399497,0
14,60000,980,1,22,0.0001474975,0.1474975,13.369609,0
15,61000,980,1,23,0.0001499975,0.1499975,13.346761,0
