metric,value
source_csv,/Users/wangjian-macbook13/Documents/颗粒破碎统计研究/data/processed/SP-002-CAL1-orient-xy45_thermo.csv
rows,601
peak_top_force_N,24.572794
peak_top_force_displacement_mm,0.27
peak_bottom_force_N,24.067977
peak_bottom_force_displacement_mm,0.27
final_intact_bonds,5135.0
final_broken_bonds,667.0
first_break_displacement_mm,0.106
first_break_step,212000.0
