metric,value
source_csv,/Users/wangjian-macbook13/Documents/颗粒破碎统计研究/data/processed/SP-RES-250-smoke_thermo.csv
rows,2
peak_top_force_N,0.0
peak_top_force_displacement_mm,0.0
peak_bottom_force_N,0.0
peak_bottom_force_displacement_mm,0.0
final_intact_bonds,1431.0
final_broken_bonds,0.0
first_break_displacement_mm,
first_break_step,
