metric,value
source_csv,/Users/wangjian-macbook13/Documents/颗粒破碎统计研究/data/processed/SP-RATE-500-0p05-FULL_thermo.csv
force_threshold_N,0.05
fit_points,6
initial_stiffness_N_per_mm,426.6059634266845
intercept_N,-39.37393961744333
