metric,value
source_csv,data/processed/SP-002-weakplane-bulk120-weak60-cd110-0p1ms-0p3mm_thermo.csv
force_threshold_N,0.05
fit_points,6
initial_stiffness_N_per_mm,512.7377177163357
intercept_N,-51.45131613763716
