Step,Atoms,KinEng,erot
0,0,0,0
10000,200,7.1264629e-06,5.7259493e-11
20000,400,1.7936991e-05,4.4306937e-09
30000,600,3.247468e-05,1.5380358e-08
40000,800,5.0606862e-05,3.4255613e-08
50000,1000,7.2180127e-05,5.5221327e-08
60000,1000,9.0003908e-05,6.9325e-08
70000,1000,0.00010697853,8.9455431e-08
80000,1000,0.0001228113,8.3812116e-08
90000,1000,0.00013712016,8.9129763e-08
100000,1000,0.00013818742,5.7250723e-07
110000,1000,0.0001126417,1.3534332e-06
120000,1000,8.1726671e-05,1.6423674e-06
130000,1000,4.0269105e-05,1.3421851e-06
140000,1000,1.0981335e-05,8.2119259e-07
150000,1000,2.7771072e-07,2.4849945e-07
160000,1000,4.4583573e-08,4.8886624e-08
170000,1000,2.9933301e-08,1.882542e-08
180000,1000,1.1585369e-08,8.8550996e-09
190000,1000,7.2331933e-09,5.4324145e-09
200000,1000,5.1490054e-09,2.9564809e-09
210000,1000,1.3460337e-09,1.2886908e-09
220000,1000,2.3803638e-10,2.8294157e-10
230000,1000,2.3356962e-10,2.2139204e-10
240000,1000,5.4425049e-10,4.8527365e-10
250000,1000,1.0019488e-10,1.5264574e-10
260000,1000,1.0335635e-11,3.0170974e-11
270000,1000,1.1253494e-10,1.1484924e-10
280000,1000,9.2814144e-12,2.3893363e-11
290000,1000,1.645989e-12,1.6871493e-11
300000,1000,2.1519823e-12,1.7268318e-11
300000,1000,2.1519823e-12,1.7268318e-11
310000,1000,7.1066731e-13,1.5948441e-11
320000,1000,5.6686962e-13,1.5754005e-11
330000,1000,4.9287392e-13,1.5617418e-11
340000,1000,4.3850897e-13,1.552127e-11
350000,1000,3.909774e-13,1.5436878e-11
