Step,Atoms,KinEng,erot
0,0,0,0
10000,50,2.1075047e-06,0
20000,50,3.0498966e-06,0
30000,50,3.9909481e-06,0
40000,50,4.8934194e-06,0
50000,50,5.7357567e-06,0
60000,50,6.5070008e-06,0
70000,50,7.2032052e-06,0
80000,50,7.8249316e-06,0
80000,50,7.8249316e-06,0
90000,50,8.0577981e-06,0
100000,50,4.0924907e-06,8.5701595e-08
110000,50,5.9776112e-07,1.810587e-07
120000,50,1.0212267e-07,9.6919404e-08
130000,50,3.2775853e-08,2.4828629e-08
