Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
7600,50000,1.2285534e-08,0,0,0,0,0,0,0,493500
7700,50000,1.1824028e-08,0,0,0,0,0,0,0,493500
7800,50000,1.1850993e-08,0,0,0,0,0,0,0,493500
7900,50000,1.11717e-08,0,0,0,0,0,0,0,493500
8000,50000,1.1110527e-08,0,0,0,0,0,0,0,493500
8100,50000,1.0910855e-08,0,0,0,0,0,0,0,493500
8200,50000,1.0328474e-08,0,0,0,0,0,0,0,493500
8300,50000,1.0263542e-08,0,0,0,0,0,0,0,493500
8400,50000,9.9826392e-09,0,0,0,0,0,0,0,493500
8500,50000,9.5972729e-09,0,0,0,0,0,0,0,493500
8600,50000,9.4334917e-09,0,0,0,0,0,0,0,493500
8700,50000,9.239349e-09,0,0,0,0,0,0,0,493500
8800,50000,8.9837532e-09,0,0,0,0,0,0,0,493500
8900,50000,8.6066779e-09,0,0,0,0,0,0,0,493500
9000,50000,8.5749837e-09,0,0,0,0,0,0,0,493500
9100,50000,8.2527776e-09,0,0,0,0,0,0,0,493500
9200,50000,7.9034535e-09,0,0,0,0,0,0,0,493500
9300,50000,7.9909432e-09,0,0,0,0,0,0,0,493500
9400,50000,7.5574566e-09,0,0,0,0,0,0,0,493500
9500,50000,7.4284458e-09,0,0,0,0,0,0,0,493500
9600,50000,7.2919388e-09,0,0,0,0,0,0,0,493500
9700,50000,7.0059564e-09,0,0,0,0,0,0,0,493500
9800,50000,6.8415717e-09,0,0,0,0,0,0,0,493500
9900,50000,6.6786733e-09,0,0,0,0,0,0,0,493500
10000,50000,6.5241539e-09,0,0,0,0,0,0,0,493500
10001,50000,6.5219328e-09,0,0,0,0,0,0,0,493500
10001,50000,6.5219328e-09,0,0,0,0,0,0,0,0
10100,50000,6.3409154e-09,0,0.0016266833,0,0,0.0016266833,0,0,493500
10200,50000,6.1361142e-09,0,0.0050396689,0,0,0.0050396689,0,0,493500
10300,50000,6.1637895e-09,0,0.0093905236,0,0,0.0093905236,0,0,493500
10400,50000,5.9224912e-09,0,0.014175762,0,0,0.014175762,0,0,493500
10500,50000,6.2350576e-09,0,0.018973236,0,0,0.018973236,0,0,493500
10600,50000,6.7411221e-09,0,0.023326186,0,0,0.023326186,0,0,493500
10700,50000,7.74427e-09,0,0.026822657,0,0,0.026822657,0,0,493500
10800,50000,9.3619681e-09,0,0.029184127,0,0,0.029184127,0,0,493500
10900,50000,1.1570132e-08,0,0.030210715,0,0,0.030210715,0,0,493500
11000,50000,1.4301913e-08,0,0.029851581,0,0,0.029851581,0,0,493500
11001,50000,1.4330878e-08,0,0.029840971,0,0,0.029840971,0,0,493500
11001,50000,1.4330878e-08,1e-06,0.05867531,0,0,0.05867531,0,0,0
11100,50000,1.6798953e-08,1e-06,0.020345278,0,0,0.020345278,0,0,493500
11200,50000,1.8413848e-08,1e-06,0.012222324,0,0,0.012222324,0,0,493500
11300,50000,1.9218685e-08,1e-06,0.0052087804,0,0,0.0052087804,0,0,493500
11400,50000,1.8891185e-08,1e-06,0.00035289764,0,0,0.00035289764,0,0,493500
11500,50000,1.8540354e-08,1e-06,0,0,0,0,0,0,493500
11600,50000,1.80109e-08,1e-06,0,0,0,0,0,0,493500
11700,50000,1.7490167e-08,1e-06,0,0,0,0,0,0,493500
11800,50000,1.7073783e-08,1e-06,0,0,0,0,0,0,493500
11900,50000,1.6639586e-08,1e-06,0,0,0,0,0,0,493500
12000,50000,1.6150676e-08,1e-06,0,0,0,0,0,0,493500
12001,50000,1.6147089e-08,1e-06,0,0,0,0,0,0,493500
12001,50000,1.6147089e-08,1e-06,0,0,0,0,0,0,0
12100,50000,1.5765158e-08,1e-06,0,0,0,0,0,0,493500
12200,50000,1.5365266e-08,1e-06,0,0,0,0,0,0,493500
12300,50000,1.4981274e-08,1e-06,0,0,0,0,0,0,493500
12400,50000,1.4483548e-08,1e-06,0,0,0,0,0,0,493500
12500,50000,1.4256716e-08,1e-06,0,0,0,0,0,0,493500
12600,50000,1.3767049e-08,1e-06,0,0,0,0,0,0,493500
12700,50000,1.341648e-08,1e-06,0,0,0,0,0,0,493500
12800,50000,1.314423e-08,1e-06,0,0,0,0,0,0,493500
12900,50000,1.2738318e-08,1e-06,0,0,0,0,0,0,493500
13000,50000,1.2403615e-08,1e-06,0,0,0,0,0,0,493500
13001,50000,1.2401019e-08,1e-06,0,0,0,0,0,0,493500
13001,50000,1.2401019e-08,2e-06,0,0,0,0,0,0,0
13100,50000,1.2132498e-08,2e-06,0,0,0,0,0,0,493500
13200,50000,1.1755963e-08,2e-06,0,0,0,0,0,0,493500
13300,50000,1.1471926e-08,2e-06,0,0,0,0,0,0,493500
13400,50000,1.1155593e-08,2e-06,0,0,0,0,0,0,493500
13500,50000,1.0920374e-08,2e-06,0,0,0,0,0,0,493500
13600,50000,1.0554811e-08,2e-06,0,0,0,0,0,0,493500
13700,50000,1.0337467e-08,2e-06,0,0,0,0,0,0,493500
13800,50000,1.0075692e-08,2e-06,0,0,0,0,0,0,493500
13900,50000,9.7465171e-09,2e-06,0,0,0,0,0,0,493500
14000,50000,9.5413723e-09,2e-06,0,0,0,0,0,0,493500
14001,50000,9.5399539e-09,2e-06,0,0,0,0,0,0,493500
14001,50000,9.5399539e-09,2e-06,0,0,0,0,0,0,0
14100,50000,9.292959e-09,2e-06,0,0,0,0,0,0,493500
14200,50000,9.0172073e-09,2e-06,0,0,0,0,0,0,493500
14300,50000,8.8204118e-09,2e-06,0,0,0,0,0,0,493500
14400,50000,8.5648328e-09,2e-06,0,0,0,0,0,0,493500
14500,50000,8.3659246e-09,2e-06,0,0,0,0,0,0,493500
14600,50000,8.1065825e-09,2e-06,0,0,0,0,0,0,493500
14700,50000,7.9260035e-09,2e-06,0,0,0,0,0,0,493500
14800,50000,7.7216867e-09,2e-06,0,0,0,0,0,0,493500
