height_bin,zmin,zmax,event_count,total_new_broken_bonds,first_event_timestep,first_event_top_displacement_mm,first_event_pebble_id,first_event_new_broken_bonds
8,0.00049954,0.00449391,1,23,30000,,500,23
7,0.00049954,0.00449391,0,0,,,,
6,0.00049954,0.00449391,0,0,,,,
5,0.00049954,0.00449391,0,0,,,,
4,0.00049954,0.00449391,0,0,,,,
3,0.00049954,0.00449391,0,0,,,,
2,0.00049954,0.00449391,0,0,,,,
1,0.00049954,0.00449391,0,0,,,,
