metric,value
source_csv,/Users/wangjian-macbook13/Documents/颗粒破碎统计研究/data/processed/SP-002-CAL1-orient-tilt_thermo.csv
force_threshold_N,0.05
fit_points,6
initial_stiffness_N_per_mm,515.0986097163548
intercept_N,-51.68587466697244
