metric,value
source_csv,data/processed/SP-002-CAL1-slow0p05ms-0p3mm_thermo.csv
force_threshold_N,0.05
fit_points,6
initial_stiffness_N_per_mm,422.1052411445613
intercept_N,-42.31700013741043
