metric,value
source_csv,/Users/wangjian-macbook13/Documents/颗粒破碎统计研究/data/processed/SP-002-WB-04-xy45-bulk63p27-weak15p818_thermo.csv
force_threshold_N,0.05
fit_points,6
initial_stiffness_N_per_mm,515.6640154306472
intercept_N,-51.744883348401686
