Step,Atoms,KinEng,fz_top,bond_created,bond_broken,bond_intact
0,500,0,0,0,0,0
1000,500,6.6215775e-16,0.0095130657,6723,0,6723
1001,500,6.6213344e-16,0.009522238,0,0,6723
