Step,Atoms,KinEng,erot
0,0,0,0
1,50,7.5583656e-16,0
1,50,7.5583656e-16,0
5000,50,1.1935693e-11,0
10000,50,1.1935693e-11,0
15000,50,1.1935693e-11,0
20000,50,1.1935693e-11,0
20001,50,1.1935693e-11,0
