metric,value
case_id,PB-003-staged-target1020
target_spacing_m,0.00102
relax_steps,1000
compression_steps,30000
top_speed_m_s,1.0
expected_internal_bonds,80676
max_intact_bonds_observed,80676.0
precompression_intact_bonds_after_relocation,80676.0
relocation_preload_broken_bonds,0.0
peak_top_force_N,31.517749
peak_top_force_displacement_mm,0.12499500000000001
peak_bottom_force_N,0.0
peak_bottom_force_displacement_mm,-0.0
final_intact_bonds,79808.0
total_broken_bonds_vs_expected_internal,868.0
first_break_displacement_mm,0.099995
source_csv,data/processed/PB-003-staged-target1020_thermo.csv
