event_index,timestep,pebble_id,new_broken_bonds,cumulative_broken_bonds,top_displacement_m,top_displacement_mm,top_force_z_N,bottom_force_z_N
1,30000,500,42,42,7.24975e-05,0.0724975,,
2,40000,500,18,60,9.74975e-05,0.0974975,,
3,70000,459,23,23,0.0001724975,0.1724975,,
4,70000,500,65,125,0.0001724975,0.1724975,,
