Step,Atoms,KinEng,top_disp,top_forc,bottom_f,side_for,all_wall,bond_cre,bond_bro,bond_int
5500,50000,2.0882019e-07,0,0.02065513,-0.047260785,0.020523983,-0.0060816721,0,0,493500
5600,50000,2.0525951e-07,0,0.019287884,-0.047567873,0.018990301,-0.0092896882,0,0,493500
5700,50000,2.0197043e-07,0,0.01797099,-0.047487098,0.016630994,-0.012885114,0,0,493500
5800,50000,1.9853779e-07,0,0.016803582,-0.046485115,0.014032965,-0.015648568,0,0,493500
5900,50000,1.9503859e-07,0,0.015663348,-0.04593296,0.012418793,-0.017850819,0,0,493500
6000,50000,1.9166026e-07,0,0.014648622,-0.045052543,0.011734133,-0.018669788,0,0,493500
6100,50000,1.8814478e-07,0,0.013631811,-0.043965717,0.010927358,-0.019406548,0,0,493500
6200,50000,1.8463729e-07,0,0.012776215,-0.042854839,0.0098065674,-0.020272056,0,0,493500
6300,50000,1.8091682e-07,0,0.012009309,-0.040936173,0.0084048809,-0.020521983,0,0,493500
6400,50000,1.7739726e-07,0,0.011373811,-0.039202534,0.0076659375,-0.020162786,0,0,493500
6500,50000,1.7378825e-07,0,0.010817449,-0.037326222,0.0075846139,-0.018924159,0,0,493500
6600,50000,1.7012952e-07,0,0.010283244,-0.035667205,0.0072011117,-0.018182849,0,0,493500
6700,50000,1.6677836e-07,0,0.0098965885,-0.03353212,0.0066281729,-0.017007359,0,0,493500
6800,50000,1.6329234e-07,0,0.009487694,-0.031610908,0.0060338923,-0.016089322,0,0,493500
6900,50000,1.6015121e-07,0,0.009177291,-0.030203072,0.0058980404,-0.015127741,0,0,493500
7000,50000,1.5700048e-07,0,0.0088738314,-0.028310258,0.0057244495,-0.013711977,0,0,493500
7100,50000,1.5381245e-07,0,0.0085742687,-0.026919815,0.0053843623,-0.012961184,0,0,493500
7200,50000,1.5094327e-07,0,0.0082842054,-0.025495662,0.005088025,-0.012123432,0,0,493500
7300,50000,1.4798082e-07,0,0.0079866826,-0.023911198,0.0050864995,-0.010838016,0,0,493500
7400,50000,1.4496836e-07,0,0.0077444195,-0.02268803,0.0053624029,-0.0095812073,0,0,493500
7500,50000,1.4205434e-07,0,0.0074651495,-0.021617937,0.0051352919,-0.0090174959,0,0,493500
7600,50000,1.3918365e-07,0,0.0072300339,-0.020356835,0.0043173123,-0.0088094883,0,0,493500
7700,50000,1.3626249e-07,0,0.006948509,-0.019695632,0.0033639657,-0.0093831571,0,0,493500
7800,50000,1.3335031e-07,0,0.0066992145,-0.019473256,0.0030774688,-0.0096965731,0,0,493500
7900,50000,1.3060612e-07,0,0.0064538602,-0.018955378,0.0033245604,-0.0091769578,0,0,493500
8000,50000,1.277235e-07,0,0.0061854239,-0.018891952,0.0034371569,-0.0092693709,0,0,493500
8100,50000,1.2495313e-07,0,0.0059570379,-0.018694141,0.0030792978,-0.0096578051,0,0,493500
8200,50000,1.2220281e-07,0,0.0056955436,-0.018038518,0.0024230513,-0.0099199231,0,0,493500
8300,50000,1.1933034e-07,0,0.0054679771,-0.017900526,0.0022476225,-0.010184926,0,0,493500
8400,50000,1.166068e-07,0,0.0051933463,-0.017957092,0.0021998892,-0.010563857,0,0,493500
8500,50000,1.1382736e-07,0,0.004960535,-0.017791477,0.002076206,-0.010754736,0,0,493500
