timestep,pair_file,wall_file,inter_pebble_edges,inter_pebble_subcontacts,inter_pebble_force_sum_N,inter_pebble_force_mean_N,inter_pebble_force_max_N,top_loaded_mother_pebbles,bottom_loaded_mother_pebbles,top_wall_force_z_N,bottom_wall_force_z_N,side_wall_force_z_N,all_wall_force_z_N,top_reachable_mother_pebbles,bottom_mothers_reachable_from_top,spanning_force_graph
30000,simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03/post/pairs_event_30000.local,simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03/post/walls_event_30000.local,68,96,0.5439687388643305,0.007999540277416626,0.08909599432386364,2,10,-0.11797540000000001,0.1216718515,-0.0011290187,0.002567432799999989,56,9,1
60000,simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03/post/pairs_event_60000.local,simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03/post/walls_event_60000.local,89,145,2.6712673826054334,0.030014240253993633,0.2818294058471916,3,13,-0.48708680000000004,0.5330067249999999,-0.0079071572,0.03801276779999986,71,12,1
