metric,value
source_csv,data/processed/SP-002-speed-0p1ms-50MPa_thermo.csv
rows,301
peak_top_force_N,6.4455429
peak_top_force_displacement_mm,0.134
peak_bottom_force_N,6.0572662
peak_bottom_force_displacement_mm,0.134
final_intact_bonds,6617.0
final_broken_bonds,106.0
first_break_displacement_mm,0.10900000000000001
first_break_step,218000.0
