Step,Atoms,KinEng,erot
0,0,0,0
10000,200,7.1261364e-06,1.2418599e-10
20000,400,1.7943875e-05,2.0090063e-09
30000,500,2.9378922e-05,9.6839269e-09
40000,500,3.8702149e-05,1.1622192e-08
50000,500,4.7738364e-05,1.1694637e-08
60000,500,5.6218441e-05,1.1422386e-08
70000,500,6.4014319e-05,1.1291933e-08
80000,500,7.1070265e-05,1.0985849e-08
90000,500,7.7068454e-05,1.0893415e-08
100000,500,6.9791685e-05,4.7061639e-07
110000,500,4.0075957e-05,1.424505e-06
120000,500,1.1272851e-05,1.0079594e-06
130000,500,4.5961194e-07,2.9685074e-07
140000,500,1.0031686e-07,7.4302047e-08
150000,500,3.9961714e-08,2.7392548e-08
150000,500,3.9961714e-08,2.7392548e-08
160000,500,1.7840912e-08,1.3104887e-08
170000,500,1.1485258e-08,8.554946e-09
180000,500,6.7229487e-09,4.297832e-09
190000,500,3.209482e-09,2.29426e-09
200000,500,2.3918858e-09,3.1740281e-09
