Step,Atoms,KinEng,erot
0,0,0,0
10000,200,7.1254393e-06,1.1854557e-10
20000,400,1.7941304e-05,2.917384e-09
30000,600,3.2463793e-05,1.8596636e-08
40000,800,5.0606888e-05,4.0244696e-08
50000,1000,7.2189558e-05,5.8628322e-08
60000,1000,9.004756e-05,5.8377938e-08
70000,1000,0.00010710142,5.8841351e-08
80000,1000,0.00012292341,6.0833774e-08
90000,1000,0.00013706597,6.0788744e-08
100000,1000,0.00013804543,5.6888226e-07
110000,1000,0.000115651,1.5468296e-06
120000,1000,8.3378519e-05,1.2542841e-06
130000,1000,4.0294539e-05,1.3886838e-06
140000,1000,1.1407604e-05,9.1048172e-07
150000,1000,3.243695e-07,2.5118962e-07
160000,1000,5.3862593e-08,5.0106129e-08
170000,1000,2.448435e-08,1.8365783e-08
180000,1000,6.4167891e-09,6.7471804e-09
190000,1000,4.5007182e-09,5.3872708e-09
200000,1000,7.097677e-09,6.0542167e-09
210000,1000,2.8991397e-09,3.7882073e-09
220000,1000,7.8811123e-10,1.1946098e-09
230000,1000,1.2488988e-09,8.1352123e-10
240000,1000,6.8944359e-10,1.4559113e-09
250000,1000,6.0310245e-10,1.0166602e-09
260000,1000,4.422606e-10,1.2474803e-09
270000,1000,2.2110096e-09,1.7892186e-09
280000,1000,2.3265563e-09,2.7503713e-09
290000,1000,1.9696094e-09,1.3131998e-09
300000,1000,1.157968e-10,1.0751866e-09
300000,1000,1.157968e-10,1.0751866e-09
310000,1000,8.0832508e-11,1.8394623e-09
320000,1000,6.0983814e-11,1.427984e-09
330000,1000,1.5425213e-13,2.2729456e-12
340000,1000,6.2283403e-14,2.2102196e-12
350000,1000,4.896335e-14,2.2127437e-12
