metric,value
source_csv,/Users/wangjian-macbook13/Documents/颗粒破碎统计研究/data/processed/SP-002-CAL1-orient-y_thermo.csv
rows,601
peak_top_force_N,28.377954
peak_top_force_displacement_mm,0.28850000000000003
peak_bottom_force_N,27.9139
peak_bottom_force_displacement_mm,0.29100000000000004
final_intact_bonds,5054.0
final_broken_bonds,792.0
first_break_displacement_mm,0.1055
first_break_step,211000.0
