case_label,case_id,final_displacement_um,final_top_force_N,peak_top_force_N,peak_force_displacement_um,mother_pebble_count,initial_internal_bonds,secant_stiffness_0_20um_N_per_m,secant_stiffness_20_40um_N_per_m,secant_stiffness_40_60um_N_per_m,minimum_intact_bonds,broken_bonds_at_endpoint,first_thermo_break_disp_um,event_rows,first_event_disp_um,last_event_disp_um,damaged_mother_pebbles,event_localized_broken_bonds,event_sequence,max_inter_mother_edges,final_inter_mother_edges,max_top_reachable_mothers,final_top_reachable_mothers,max_bottom_reachable_from_top,final_bottom_reachable_from_top,final_inter_pebble_force_sum_N,final_spanning_force_graph,display_case,color,marker,case_kind,broken_bond_fraction,damaged_fraction,network_reorganization_fraction,force_relaxation_fraction,load_path_reach_fraction,bottom_reach_fraction,force_path_intensity_norm,broken_bond_fraction_x1e5,damage_localization_index_bonds_per_damaged_mother,endpoint_damage_state,posthoc_mechanism_index,tail_inter_parent_force_sum_N,tail_F95_edge_force_N,tail_F99_edge_force_N,tail_top5_force_share,tail_top1_force_share,source_panel,event_index,event_timestep,event_displacement_um,pebble_id,rank_from_top,new_broken_bonds,cumulative_broken_bonds,event_top_force_N,previous_native_timestep,next_native_timestep,previous_inter_mother_edges,next_inter_mother_edges,delta_inter_mother_edges,previous_top_reachable_mothers,next_top_reachable_mothers,delta_top_reachable_mothers,previous_inter_pebble_force_sum_N,next_inter_pebble_force_sum_N,force_sum_ratio_next_to_previous,spanning_graph_before,spanning_graph_after,mechanism_note
pilot_localized_microcracking,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,60.0,0.1577665,0.29448702,38.0,100.0,493500.0,12079.58577142857,8811.912415584415,-2290.42463636363,493495.0,5.0,20.0,3.0,25.0,60.0,1.0,5.0,25.0um:+2;35.0um:+2;60.0um:+1,79.0,74.0,65.0,57.0,11.0,11.0,0.8636818383292806,1.0,Pilot,#335C81,o,cracked,1.0131712259371834e-05,0.01,0.06329113924050633,0.4642667102950751,0.57,0.11,0.8368398974539095,1.0131712259371835,5.0,localized microcracking,1.3029110317700547,0.8636818383292805,0.0664506257914974,0.0964939695344154,0.4066476719655447,0.135736762406943,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed02_intact_to_60um,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed02,60.0,0.12814566,0.12814566,60.0,100.0,493500.0,-482.07303012987,-115.11316311688304,2835.942081168834,493500.0,0.0,,0.0,,,0.0,0.0,none,83.0,83.0,67.0,67.0,19.0,18.0,0.2527022955195097,1.0,Independent,#B85C38,s,intact,0.0,0.0,0.0,0.0,0.67,0.18,0.24484868580539734,0.0,0.0,intact to endpoint,0.24484868580539734,0.2527022955195097,0.0118748547550408,0.0231976542288353,0.3890995838601364,0.1014870105716633,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed03_delayed_microcracking_to_60um,PB-007-bonded-steprelaxed-100-seed03-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed03,60.0,0.64949435,0.64949435,60.0,100.0,493500.0,4778.798879220779,9078.42433766234,-7066.360363636375,493490.0,10.0,50.0,2.0,59.0,59.0,2.0,10.0,59.0um:+10,89.0,63.0,71.0,54.0,12.0,7.0,1.0320753598831005,1.0,Delayed,#168A74,^,cracked,2.0263424518743667e-05,0.02,0.29213483146067415,0.0,0.54,0.07,1.0,2.026342451874367,5.0,localized microcracking,1.2921348314606742,1.0320753598831005,0.068555166973802,0.1175159798211813,0.386945506441723,0.1256820887417077,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed04_early_microcracking_to_60um,PB-007-bonded-steprelaxed-100-seed04-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed04,60.0,0.25913655,0.33753033,48.0,100.0,493500.0,6374.656871428574,10232.720415584416,-11152.193727272746,493490.0,10.0,19.0,4.0,19.0,59.0,2.0,10.0,19.0um:+4;29.0um:+1;49.0um:+4;59.0um:+1,85.0,57.0,68.0,46.0,16.0,10.0,0.5754712409648477,1.0,Early,#8B3A62,P,cracked,2.0263424518743667e-05,0.02,0.32941176470588235,0.23225699450476042,0.46,0.1,0.5575864547624015,2.026342451874367,5.0,localized microcracking,0.9134252753905318,0.5754712409648477,0.0389827787878991,0.0431223020884739,0.2196638961653206,0.075057397057076,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed06_synchronous_microcracking_to_60um,PB-007-bonded-steprelaxed-100-seed06-600ksettle-y1p5e10-10krelax-60um-nohold-fracture-seed06,60.0,0.51979486,0.51979486,60.0,100.0,493500.0,7679.049182987012,-7323.413125974023,10558.446467532483,493490.0,10.0,30.0,2.0,39.0,39.0,2.0,10.0,39.0um:+10,88.0,88.0,72.0,72.0,12.0,12.0,0.9447621714911172,1.0,Synchronous,#D08A24,X,cracked,2.0263424518743667e-05,0.02,0.0,0.0,0.72,0.12,0.9154003750250631,2.026342451874367,5.0,localized microcracking,0.9154003750250631,0.9447621714911172,0.0381724143182302,0.0538865618451481,0.2484243935074066,0.0612865440160155,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed02_strength0p5_intact_to_60um,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p5-trigger-seed02,60.0,0.12814356,0.12814356,60.0,100.0,493500.0,-482.0544932467532,-115.13498376623372,2835.876020779224,493500.0,0.0,,0.0,,,0.0,0.0,none,83.0,83.0,67.0,67.0,19.0,18.0,0.2526280110783732,1.0,0.5x intact,#4F7F52,D,strength_control,0.0,0.0,0.0,0.0,0.67,0.18,0.24477671001368298,0.0,0.0,intact to endpoint,0.24477671001368298,0.2526280110783732,0.011878492714484,0.0231964183082186,0.3892185139602647,0.1015132740955287,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed02_strength0p25_intact_to_60um,PB-007-bonded-steprelaxed-100-seed02-600ksettle-y1p5e10-10krelax-60um-nohold-strength0p25-trigger-seed02,60.0,0.12814356,0.12814356,60.0,100.0,493500.0,-482.0544932467532,-115.13498376623372,2835.876020779224,493500.0,0.0,,0.0,,,0.0,0.0,none,83.0,83.0,67.0,67.0,19.0,18.0,0.2526280110783732,1.0,0.25x intact,#7C6A9D,v,strength_control,0.0,0.0,0.0,0.0,0.67,0.18,0.24477671001368298,0.0,0.0,intact to endpoint,0.24477671001368298,0.2526280110783732,0.011878492714484,0.0231964183082186,0.3892185139602647,0.1015132740955287,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed09_200bed_intact_to_60um,PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-y1p5e10-10kstage-hold100-60um-fracture-200bed,60.0,0.019484877,0.042088353,6.0,200.0,987000.0,-232.51408311688277,-228.04646233766223,-7.328110389609994,987000.0,0.0,,0.0,,,0.0,0.0,none,53.0,53.0,43.0,43.0,8.0,8.0,0.1131278346633127,1.0,200-bed,#5E7CE2,h,scale,0.0,0.0,0.0,0.5370482423011421,0.215,0.04,0.10961199061677657,0.0,0.0,intact to endpoint,0.1684789175126457,0.1131278346633127,0.0120718043853034,0.020372631013095,0.4733166518875937,0.2012047869754987,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
seed09_200bed_strength0p25_to_60um,PB-007-bonded-steprelaxed-200-seed09-midbox-fast600ksettle-60um-strength0p25-200bed,60.0,0.019485091,0.0420881169999999,6.0,200.0,987000.0,-232.51373896103823,-228.0575792207794,-7.353966233766231,987000.0,0.0,,0.0,,,0.0,0.0,none,53.0,53.0,43.0,43.0,8.0,8.0,0.1131302109936699,1.0,200-bed 0.25x,#2E6F40,*,scale,0.0,0.0,0.0,0.5370405618288876,0.215,0.04,0.10961429309433737,0.0,0.0,intact to endpoint,0.16848161464219666,0.1131302109936699,0.0120722562215089,0.0203729094052022,0.4733084138877842,0.2012026881577644,a_c_d_endpoint_mechanism,,,,,,,,,,,,,,,,,,,,,,
Pilot,PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b_event_aligned_topology,1.0,60000.0,25.0,78.0,2.0,2.0,2.0,0.059380426,30000.0,60000.0,55.0,67.0,12.0,48.0,58.0,10.0,0.5418367105061715,0.3893863486391413,0.7186415041450134,1.0,1.0,localized bond loss embedded in a spanning native force graph
