height_bin,zmin,zmax,event_count,total_new_broken_bonds,first_event_timestep,first_event_top_displacement_mm,first_event_pebble_id,first_event_new_broken_bonds
8,0.000499337,0.00841137,15,98,28000,0.0674975,1000,15
7,0.000499337,0.00841137,0,0,,,,
6,0.000499337,0.00841137,0,0,,,,
5,0.000499337,0.00841137,0,0,,,,
4,0.000499337,0.00841137,0,0,,,,
3,0.000499337,0.00841137,0,0,,,,
2,0.000499337,0.00841137,0,0,,,,
1,0.000499337,0.00841137,0,0,,,,
