timestep,pair_file,wall_file,inter_pebble_edges,inter_pebble_subcontacts,inter_pebble_force_sum_N,inter_pebble_force_mean_N,inter_pebble_force_max_N,top_loaded_mother_pebbles,bottom_loaded_mother_pebbles,top_wall_force_z_N,bottom_wall_force_z_N,side_wall_force_z_N,all_wall_force_z_N,top_reachable_mother_pebbles,bottom_mothers_reachable_from_top,spanning_force_graph,disp_um
30000,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/pairs_event_30000.local,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/walls_event_30000.local,55,77,0.5418367105061715,0.0098515765546576,0.0906196402910279,2,8,-0.0749051,0.11617099513,0.0184533999,0.05971929503,48,7,1,10.0
60000,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/pairs_event_60000.local,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/walls_event_60000.local,67,104,0.3893863486391413,0.0058117365468528,0.0776592113749215,2,10,-0.0593804365,0.0596371089399999,0.0129193168,0.0131759892399999,58,8,1,25.0
90000,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/pairs_event_90000.local,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/walls_event_90000.local,79,135,1.042822003188048,0.0132002785213676,0.1711665484307978,2,13,-0.1875375,0.20831130983,0.04766444366,0.06843825349,65,10,1,40.0
120000,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/pairs_event_120000.local,<project-root>/simulations/pebble_bed/PB-007/cases/PB-007-bonded-steprelaxed-100-pilot-y1p5e10-10krelax-60um-fracture-pilot/post/walls_event_120000.local,67,107,0.6745991323173595,0.0100686437659307,0.0652361041181154,2,14,-0.09999881,0.09748617401,0.0126139603999999,0.01010132441,56,11,1,55.0
