pebble_id,rigid_id,insertion_origin_x,insertion_origin_y,insertion_origin_z,rigid_xcm,rigid_ycm,rigid_zcm,q1_w,q2_x,q3_y,q4_z,coordinate_fit_rms_m,insertion_offset_local_x,insertion_offset_local_y,insertion_offset_local_z
1,1,-0.000855684657704739,0.0013391651701384927,0.0004909277243553761,-0.000854605,0.00132252,0.000497748,0.516167695750866,0.7832535786140641,0.08241529525873172,-0.3365894540221361,3.1285413452829526e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
2,2,0.0022057465692172863,0.0014458539136483109,0.0004885964610525407,0.00222174,0.0014475,0.00049674,0.7469887093440183,-0.09539110239543526,0.10209209806852139,-0.6499889300659734,4.145029548581153e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
3,3,0.0018368983768482865,-0.001584782394100161,0.0004959540135269056,0.00184983,-0.00159644,0.000500603,0.4512391040095501,0.8003645420857709,0.35355226787524047,0.175501181377126,4.00272659365579e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
4,4,-0.00036373199467712577,4.382729144766261e-05,0.0004986756368437532,-0.000353325,2.91489e-05,0.000497698,-0.2518869118913601,0.21142450366907833,-0.3413731378853853,0.880520893333261,4.6373291865578414e-10,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
5,5,0.0022486254005417822,0.0004036340342088317,0.0004937621129526492,0.00223401,0.000393112,0.000494418,0.39648098435633294,-0.2125113966612098,-0.28133762043991584,0.847638412684407,2.8356402190181255e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
6,6,0.00017557855958497638,-0.0017471750694270168,0.0004948752818134201,0.000192868,-0.00174215,0.000495591,0.7893697797128613,-0.09985276727553836,0.4152322058829551,-0.4410294672026588,2.9592640489042053e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
7,7,0.002494346725051325,-0.00023409446441993853,0.0012075532652697024,0.00250308,-0.00024573,0.00119692,0.1547229207434894,0.7842189136658513,0.5292661828645198,-0.28449748842718586,3.896743681124062e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
8,8,-0.0007366128380917085,-0.0011041973106268165,0.0005108027485673553,-0.000723951,-0.00110066,0.000498481,-0.39743808549883863,0.816008421878178,0.3006095411490129,0.2929285363174497,2.5819091873102218e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
9,9,-0.00022147809699239626,0.0022709483608040755,0.0004968452348981084,-0.000222889,0.00228891,0.000496483,-0.09101922829296248,0.002995049625586009,0.9319385064786473,0.3509945154857012,2.9266153725439653e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
10,10,-0.002256471154384528,-0.0024895059525184486,0.0005104069846338467,-0.00226511,-0.00248777,0.000494691,-0.3631559300692736,0.8618355300455598,-0.3243806699564143,-0.14189598502155537,4.1217639961664965e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
