pebble_id,rigid_id,insertion_origin_x,insertion_origin_y,insertion_origin_z,rigid_xcm,rigid_ycm,rigid_zcm,q1_w,q2_x,q3_y,q4_z,coordinate_fit_rms_m,insertion_offset_local_x,insertion_offset_local_y,insertion_offset_local_z
1,1,-0.0017522164681256275,0.0009578803360438205,0.0010993354097812052,-0.00176168,0.000968887,0.00108866,-0.12847579554893546,-0.24302254827275588,0.9614087489001527,0.011279562373031548,4.072097468470695e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
2,2,-0.0015443035926985763,0.0024944977012089377,0.0011799094589239351,-0.00153489,0.00250235,0.0011667,0.14432277923593115,0.26196351136695367,0.9484043325984114,-0.10523913727541861,4.915580626242631e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
3,3,0.002489923669772417,3.0803138704555365e-05,0.0005017682794258405,0.00250323,2.02316e-05,0.000495788,-0.008898198472551206,0.8899104163892305,0.16020416401322285,0.4269834876183318,2.9055144454934017e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
4,4,-0.0015734034359261037,-0.0024821636916485556,0.00048343508859196807,-0.00158052,-0.00248579,0.000499588,0.7918310835837085,0.34857564986533335,-0.037543227810393376,0.5000890495073728,3.937542809702733e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
5,5,0.0009015183195132372,0.002472484743438024,0.0005091115391229795,0.000912155,0.00247619,0.000495047,-0.3970353024912286,0.8309258628749921,0.329574249500089,0.20810092034299463,3.3327106379154814e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
6,6,-0.0013839724602969547,0.0016559105027921,0.0004810760280091257,-0.00138282,0.0016548,0.000499025,-0.1338520759917959,-0.019878290128631564,0.3648033158361316,0.9211986843722759,4.045044076499001e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
7,7,2.6321296774263202e-05,-0.0005099332868210853,0.000503095384047144,3.797e-05,-0.00049692,0.00049866,-0.2502669714318021,0.5035334666409885,0.7563039565225782,0.3344021775215528,4.817985021476555e-10,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
8,8,-0.0021853350994944574,0.00219810487928247,0.0004802384648985955,-0.00218867,0.00219364,0.000497376,0.17976952170936406,0.00943312872613567,0.2598690635443671,0.9487159769706612,4.131782530877386e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
9,9,0.0015542443964119774,0.0017259220102984242,0.0004822565746636491,0.00155995,0.00172439,0.00049928,-0.24176106786768534,0.0650962629590481,0.3193167916114928,0.9139753001078231,4.141477309738681e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
10,10,3.0293687958640958e-05,0.0014987369383055692,0.0005082107372463222,2.01404e-05,0.00148694,0.00049913,-0.17462437656786756,0.6747602138154124,0.28152310600929537,-0.6595071809638933,2.8478231509463004e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
11,11,0.001761612529545298,0.0006956924710537816,0.0004965246477589501,0.00175324,0.00068005,0.000499673,0.4455966924124208,0.8603856274248116,-0.2421704790886144,-0.05033506620552679,3.0362823661439042e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
12,12,0.0008793578317901502,0.0010810673483806219,0.0007322802982641701,0.000864015,0.00107354,0.000737989,0.2783047882325823,-0.40753945086727317,0.032331802058971494,0.8691448069276134,2.93188794726775e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
