pebble_id,rigid_id,insertion_origin_x,insertion_origin_y,insertion_origin_z,rigid_xcm,rigid_ycm,rigid_zcm,q1_w,q2_x,q3_y,q4_z,coordinate_fit_rms_m,insertion_offset_local_x,insertion_offset_local_y,insertion_offset_local_z
1,1,0.0007646840566876925,0.0010531797604930288,0.0005027838341543985,0.000781007,0.00105268,0.000495167,-0.4837391555870105,0.6492707386671146,-0.0827222393291273,0.5810343951806982,2.490844241323478e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
2,2,0.0019443861791868116,0.0013426663579853067,0.0004854349717094301,0.00193926,0.0013546,0.000497921,-0.4430985160670105,-0.1345543460824921,0.6773683349430262,0.571603859176999,4.12867401036979e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
3,3,0.0010756645469653088,-0.00248792167255794,0.0005037559735704246,0.00107001,-0.00250372,0.000497186,0.15102877562440534,-0.01479319133218274,-0.5362299267417029,0.8303185750603141,3.632287072757348e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
4,4,-0.0006544254299880855,-0.00020637946631932633,0.0005023409250325127,-0.000638869,-0.000212407,0.000495532,-0.3640548754009714,0.6380639968223539,-0.14943782056178864,0.661820762322858,8.524575769112716e-10,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
5,5,0.002285247967175757,-0.0005095445637521385,0.0004895591081891469,0.00229202,-0.000524255,0.000497462,0.3305060872240052,0.6839374460826401,0.057944791042648144,0.6477944869670149,2.9079546575825884e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
6,6,0.00124227304542921,-0.001545046388883829,0.0004899778397952578,0.00122835,-0.00155576,0.000494001,0.2177851898149542,-0.4177971320320744,-0.05523584824586769,0.880320491997998,3.9102361516300594e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
7,7,0.0024896938654122174,-0.0025182069583529294,0.0014672882680126884,0.00250192,-0.00250497,0.00146762,0.707232499130846,-0.4556996687553846,-0.2884893699099893,-0.4570928653110964,5.00638282039502e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
8,8,-0.00042119454973682654,-0.0017399018652226013,0.0004932777356465369,-0.000433072,-0.0017271,0.000497731,0.7487849337695683,0.06750104880335026,-0.6554941286671284,-0.07135950289255752,2.9917188175857756e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
9,9,-0.0024780968325144852,0.0011387551469101086,0.0021884529548288644,-0.00249477,0.0011454,0.00219007,0.7066731269355373,-0.3750241719088263,-0.005083497881757967,0.5999534316932733,4.7133601561173915e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
10,10,-0.002444582894662588,-0.0024861611497285223,0.0005109934986693559,-0.00243405,-0.00248135,0.000497189,0.2418692739136415,0.20446912245094273,0.9234066470098138,-0.2168220389137652,4.053553846508718e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
11,11,0.0024973242012969613,0.0024956452896802575,0.0022589287246756237,0.00250372,0.00250686,0.00224635,0.26789064005981633,-0.010215913391964728,0.9601154645342237,-0.0794262855995509,4.982936327676571e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
12,12,0.0006440990013556201,-0.00031194659137172694,0.0005051827917929358,0.00062947,-0.000309411,0.000494971,-0.5805886232942619,0.2808458189364918,0.6013307334848466,-0.4716395079440882,8.488679914028375e-10,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
13,13,-0.001792868729495333,-0.00044527644386093204,0.0005000920961495831,-0.00181077,-0.000443808,0.000498614,-0.29942118785867855,-0.5942207160835155,0.728175336381507,0.16434528385132055,2.85586710771246e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
14,14,-0.00015929445927666258,0.0006716694413088393,0.0005076930477498537,-0.000173068,0.000664761,0.000498352,0.006672804059028149,0.8870360636318014,-0.42421948696877604,-0.1820997594137259,8.291142523366158e-10,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
15,15,-0.0012322856585089078,-0.002490770229459722,0.0005000780729843241,-0.00121764,-0.00250066,0.000496528,-0.3768490851963445,0.3579408122401671,-0.3199084573770476,0.7921626858279589,3.838878638679327e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
16,16,0.0025058211932515806,0.002517283152855226,0.0005023574384175987,0.00250222,0.00250024,0.000497748,-0.08637797731867836,-0.643915930480534,-0.30563302456251595,0.6960600360633344,4.080369405358059e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
17,17,-0.0014167483145650385,0.0005540293323279072,0.0004900836453215684,-0.00140048,0.000551998,0.000497555,-0.49373064064238475,0.3011841490905238,0.060323332735989874,0.8135596218809661,2.795788804024606e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
18,18,-0.0015487649602486117,0.0025041985805272626,0.000501868695181425,-0.00153162,0.00250238,0.000496646,0.6096255974994689,-0.12552668447959872,0.5296870003407396,-0.576221627524518,4.101128546660617e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
19,19,0.002512995193213433,-0.002489389490920378,0.0005065449994439995,0.00249627,-0.00248933,0.000499849,-0.1641384819999758,0.7859781909518859,-0.444575838383121,-0.3970505836800767,4.004606253220012e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
20,20,0.002227433502425339,-0.0015444158429937203,0.00048540352879791255,0.00221511,-0.00155081,0.000496893,0.3819268409455219,-0.1464845143685278,0.0582099761754306,0.9106512910490197,4.0681315762208654e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
21,21,0.001990713961305357,0.002038487758495111,0.0012154253679379837,0.00199437,0.00202423,0.00120503,0.09704225303603686,0.9121181479148337,0.3142506581798279,-0.24468307911183435,4.786329684227107e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
22,22,-0.0018122483912167313,0.0024941441642237915,0.0014214961788144612,-0.00182584,0.00250268,0.00142969,0.05783908287203883,-0.40620036608078286,0.6454756782683718,0.6442181710044703,4.962496266049168e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
23,23,0.001538775729505844,-0.0017125589979266468,0.0014097198819220174,0.00154855,-0.00171956,0.00139629,0.06890526941717372,0.7386874142648828,0.632018804141991,-0.22393123735677337,5.003041198072455e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
24,24,-5.077590383139959e-05,0.0016235844826024803,0.0004951658421840721,-3.46332e-05,0.00163134,0.000497139,0.5973818114830827,0.29073464826237844,0.7454360949392784,0.054160538869374074,2.8308214925861415e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
25,25,-0.0005840640651387151,-0.0015097796137428284,0.0014498160010894229,-0.000588478,-0.00150096,0.00143474,0.13958276486256146,-0.3466664231890274,0.9233277190576042,-0.08834571866554133,4.087993782161125e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
26,26,-0.001081734437909252,-0.0010636066505264356,0.000726085210111383,-0.00108321,-0.00105741,0.000709228,-0.4010446971175852,0.559235174960724,0.6970563464452942,-0.20132466287281023,3.372020867723783e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
27,27,-0.002499411021713228,0.00028641974471944236,0.0005021878317917762,-0.00250171,0.000269389,0.000496768,0.11610826711021685,0.27220064152726103,-0.49949201930325904,0.8142072240610265,2.8094552794858225e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
28,28,0.0007875766343376261,-0.0024867791542944988,0.0014358774602754173,0.0007773,-0.00250151,0.00143732,0.3667511872375747,0.13461470782544344,-0.37639162229403467,0.8400605893408907,4.173636538906668e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
29,29,-0.0010047197674002627,0.0015320631463310672,0.0005048306706249563,-0.00101432,0.00151858,0.000497716,0.01841488756607421,0.8966165317244911,-0.01083954738458887,-0.44229197501963646,3.5780155743733373e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
30,30,0.0004065716211463817,-0.0015900640077515513,0.0009870581318820737,0.000391939,-0.00159936,0.000991983,0.277975906625812,-0.37429724650184043,-0.04017024102570617,0.8837518420533194,3.4851413785378265e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
31,31,0.0004903924076151454,0.0025165227700457383,0.00048729369401453754,0.00049628,0.00250229,0.000496653,-0.32239393376735315,-0.14472904489142682,-0.12771057653735937,0.926717682832977,2.965817652257793e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
32,32,-0.001444395064513041,0.0016295418192405343,0.0013777568601014531,-0.00143553,0.00161399,0.00137979,-0.40448156035343863,-0.3190848996979689,-0.3702086656231831,0.7729974372637253,4.924821971804058e-09,9.261202893993213e-07,1.1785267655754519e-05,1.277708967471824e-05
